"","Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"161","Kozeretska","1","F","MU",0.63,0.219658826364888,0.65,0.3,0.85,0.0982344135219425,0.34866480375379,0.3
"162","Kozeretska","1","F","RE",0.525,0.249284690951645,0.525,0.1,0.8,0.0881354477089505,0.474827982765038,0.4
"163","Kozeretska","1","F","UM",0.6875,0.25617376914899,0.7,0.4,0.95,0.128086884574495,0.37261639148944,0.95
"164","Kozeretska","1","F","VA",0.333333333333333,0.317542648054294,0.15,0.15,0.7,0.183333333333333,0.952627944162883,0.15
"165","Kozeretska","1","F","YE",0.64,0.238222584991432,0.75,0.3,0.9,0.106536378763313,0.372222789049112,0.75
"166","Kozeretska","1","M","AK",0.85,0.166904592079256,0.875,0.6,1,0.0590096844352082,0.196358343622654,1
"167","Kozeretska","1","M","GI",0.82,0.168077363139716,0.85,0.6,1,0.0751664818918645,0.204972394072825,0.95
"168","Kozeretska","1","M","KA",0.786363636363636,0.264661018182608,0.8,0.1,1,0.079798299449558,0.336563144509674,1
"169","Kozeretska","1","M","MA",0.96,0.0223606797749979,0.95,0.95,1,0.01,0.0232923747656228,0.95
"170","Kozeretska","1","M","MU",0.89,0.138744369255116,0.95,0.65,1,0.0620483682299543,0.15589254972485,0.95
"171","Kozeretska","1","M","RE",0.75625,0.259721691706444,0.8,0.4,1,0.0918254847134342,0.343433641925876,1
"172","Kozeretska","1","M","UM",0.825,0.217944947177034,0.925,0.5,0.95,0.108972473588517,0.26417569354792,0.95
"173","Kozeretska","1","M","VA",0.35,0.217944947177034,0.25,0.2,0.6,0.125830573921179,0.622699849077239,0.6
"174","Kozeretska","1","M","YE",0.9,0.223606797749979,1,0.5,1,0.1,0.248451997499977,1
"175","Kozeretska","2","F","AK",0.488461538461538,0.312508461423908,0.525,0,1,0.0612879516524372,0.639781102127687,0
"176","Kozeretska","2","F","GI",0.463636363636364,0.22370841411412,0.6,0.05,0.75,0.0674506247329074,0.48250834416771,0.6
"177","Kozeretska","2","F","KA",0.358333333333333,0.320392751402892,0.275,0,1,0.0924894206344322,0.894119306240628,0.05
"178","Kozeretska","2","F","MA",0.33,0.245373864405591,0.25,0,0.75,0.0490747728811182,0.743557164865427,0.25
"179","Kozeretska","2","F","MU",0.424074074074074,0.336660742945262,0.35,0,1,0.0647903901883422,0.793872494281404,0.85
"180","Kozeretska","2","F","RE",0.44375,0.32087120988542,0.5,0,0.95,0.080217802471355,0.723090050446017,0.1
"181","Kozeretska","2","F","UM",0.302777777777778,0.312707447484735,0.2,0,0.9,0.0737058522146641,1.03279523939912,0.05
"182","Kozeretska","2","F","VA",0.431944444444444,0.324731268628995,0.325,0,1,0.0541218781048326,0.751789432195745,0.25
"183","Kozeretska","2","F","YE",0.407894736842105,0.341672015362498,0.3,0,1,0.0783849361474214,0.837647521533867,0.1
