"","Supervisor.PI","Batch","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"149","Gonzalez","1","M","YE","YE48",0.736842105,NA,0.736842105,0.736842105,0.736842105,NA,NA,0.736842105
"150","Gonzalez","1","M","YE","YE80",0.444444444,NA,0.444444444,0.444444444,0.444444444,NA,NA,0.444444444
"151","Gonzalez","2","F","AK","AK1",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"152","Gonzalez","2","F","AK","AK11",1,NA,1,1,1,NA,NA,1
"153","Gonzalez","2","F","AK","AK12",0.888888889,NA,0.888888889,0.888888889,0.888888889,NA,NA,0.888888889
"154","Gonzalez","2","F","AK","AK13",1,NA,1,1,1,NA,NA,1
"155","Gonzalez","2","F","AK","AK14",1,NA,1,1,1,NA,NA,1
"156","Gonzalez","2","F","AK","AK16",1,NA,1,1,1,NA,NA,1
"157","Gonzalez","2","F","AK","AK17",0.736842105,NA,0.736842105,0.736842105,0.736842105,NA,NA,0.736842105
"158","Gonzalez","2","F","AK","AK2",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"159","Gonzalez","2","F","AK","AK20",1,NA,1,1,1,NA,NA,1
"160","Gonzalez","2","F","AK","AK21",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"161","Gonzalez","2","F","AK","AK4",0.941176471,NA,0.941176471,0.941176471,0.941176471,NA,NA,0.941176471
"162","Gonzalez","2","F","AK","AK5",0.684210526,NA,0.684210526,0.684210526,0.684210526,NA,NA,0.684210526
"163","Gonzalez","2","F","AK","AK7",1,NA,1,1,1,NA,NA,1
"164","Gonzalez","2","F","AK","AK8",1,NA,1,1,1,NA,NA,1
"165","Gonzalez","2","F","AK","AK9",0.684210526,NA,0.684210526,0.684210526,0.684210526,NA,NA,0.684210526
"166","Gonzalez","2","F","GI","GI12",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"167","Gonzalez","2","F","GI","GI13",0.818181818,NA,0.818181818,0.818181818,0.818181818,NA,NA,0.818181818
"168","Gonzalez","2","F","GI","GI3",0.888888889,NA,0.888888889,0.888888889,0.888888889,NA,NA,0.888888889
"169","Gonzalez","2","F","GI","GI4",0.416666667,NA,0.416666667,0.416666667,0.416666667,NA,NA,0.416666667
"170","Gonzalez","2","F","GI","GI6",0.133333333,NA,0.133333333,0.133333333,0.133333333,NA,NA,0.133333333
"171","Gonzalez","2","F","GI","GI7",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"172","Gonzalez","2","F","GI","GI8",0.944444444,NA,0.944444444,0.944444444,0.944444444,NA,NA,0.944444444
"173","Gonzalez","2","F","KA","KA10",0.611111111,NA,0.611111111,0.611111111,0.611111111,NA,NA,0.611111111
"174","Gonzalez","2","F","KA","KA13",0.952380952,NA,0.952380952,0.952380952,0.952380952,NA,NA,0.952380952
"175","Gonzalez","2","F","KA","KA14",1,NA,1,1,1,NA,NA,1
"176","Gonzalez","2","F","KA","KA15",0.95,NA,0.95,0.95,0.95,NA,NA,0.95
"177","Gonzalez","2","F","KA","KA16",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
"178","Gonzalez","2","F","KA","KA17",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"179","Gonzalez","2","F","KA","KA18",0.789473684,NA,0.789473684,0.789473684,0.789473684,NA,NA,0.789473684
"180","Gonzalez","2","F","KA","KA2",0.65,NA,0.65,0.65,0.65,NA,NA,0.65
"181","Gonzalez","2","F","MA","MA13",0.714285714,NA,0.714285714,0.714285714,0.714285714,NA,NA,0.714285714
"182","Gonzalez","2","F","MA","MA16",1,NA,1,1,1,NA,NA,1
"183","Gonzalez","2","F","MA","MA18",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
"184","Gonzalez","2","F","MA","MA27",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"185","Gonzalez","2","F","MA","MA28",0.894736842,NA,0.894736842,0.894736842,0.894736842,NA,NA,0.894736842
"186","Gonzalez","2","F","MA","MA3",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"187","Gonzalez","2","F","MA","MA33",0.8,NA,0.8,0.8,0.8,NA,NA,0.8
"188","Gonzalez","2","F","MA","MA7",0.9,NA,0.9,0.9,0.9,NA,NA,0.9
"189","Gonzalez","2","F","MA","MA9",0.714285714,NA,0.714285714,0.714285714,0.714285714,NA,NA,0.714285714
"190","Gonzalez","2","F","MU","MU1",0.842105263,NA,0.842105263,0.842105263,0.842105263,NA,NA,0.842105263
"191","Gonzalez","2","F","MU","MU10",1,NA,1,1,1,NA,NA,1
"192","Gonzalez","2","F","MU","MU11",1,NA,1,1,1,NA,NA,1
"193","Gonzalez","2","F","MU","MU12",0.947368421,NA,0.947368421,0.947368421,0.947368421,NA,NA,0.947368421
