"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"551","Kozeretska","M","VA","VA18",0.475,0.601040764008565,0.475,0.05,0.9,0.425,1.26534897686014,0.05
"552","Kozeretska","M","VA","VA22",0.675,0.0353553390593273,0.675,0.65,0.7,0.025,0.0523782800878923,0.65
"553","Kozeretska","M","VA","VA26",1,0,1,1,1,0,0,1
"554","Kozeretska","M","VA","VA30",0.375,0.318198051533946,0.375,0.15,0.6,0.225,0.848528137423857,0.15
"555","Kozeretska","M","VA","VA34",0.1,0,0.1,0.1,0.1,0,0,0.1
"556","Kozeretska","M","VA","VA35",0.5,0.636396103067893,0.5,0.05,0.95,0.45,1.27279220613579,0.95
"557","Kozeretska","M","VA","VA44",0.65,0.141421356237309,0.65,0.55,0.75,0.1,0.217571317288168,0.55
"558","Kozeretska","M","VA","VA46",0.666666666666667,0.275378527364305,0.8,0.35,0.85,0.158989866902824,0.413067791046458,0.35
"559","Kozeretska","M","VA","VA48",0.925,0.106066017177982,0.925,0.85,1,0.075,0.114665964516737,1
"560","Kozeretska","M","VA","VA55",0.525,0.388908729652601,0.525,0.25,0.8,0.275,0.740778532671621,0.8
"561","Kozeretska","M","VA","VA57",0.7,0.353553390593274,0.7,0.45,0.95,0.25,0.505076272276105,0.95
"562","Kozeretska","M","VA","VA6",0.875,0.106066017177982,0.875,0.8,0.95,0.075,0.121218305346265,0.8
"563","Kozeretska","M","VA","VA66",0.225,0.0353553390593274,0.225,0.2,0.25,0.025,0.157134840263677,0.2
"564","Kozeretska","M","VA","VA67",0.9,0,0.9,0.9,0.9,0,0,0.9
"565","Kozeretska","M","VA","VA71",0.725,0.247487373415292,0.725,0.55,0.9,0.175,0.341361894365919,0.9
"566","Kozeretska","M","VA","VA9",0.6,0,0.6,0.6,0.6,0,0,0.6
"567","Kozeretska","M","YE","YE13",1,0,1,1,1,0,0,1
"568","Kozeretska","M","YE","YE14",0.75,0.353553390593274,0.75,0.5,1,0.25,0.471404520791032,0.5
"569","Kozeretska","M","YE","YE19",0.925,0.106066017177982,0.925,0.85,1,0.075,0.114665964516737,1
"570","Kozeretska","M","YE","YE20",0.75,NA,0.75,0.75,0.75,NA,NA,0.75
"571","Kozeretska","M","YE","YE21",1,NA,1,1,1,NA,NA,1
"572","Kozeretska","M","YE","YE22",0.7,0.212132034355964,0.7,0.55,0.85,0.15,0.303045763365663,0.55
"573","Kozeretska","M","YE","YE26",0.7,NA,0.7,0.7,0.7,NA,NA,0.7
