Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.39662E-4,78.520067094,0.838503718,0.048426789,0.750724638,0.810457516
3.40444E-4,78.758168433,0.839180211,0.047811566,0.752173913,0.810457516
3.42091E-4,79.031293503,0.8405959,0.047108455,0.757246377,0.810457516
3.42918E-4,79.271142683,0.841302216,0.046493233,0.75942029,0.810457516
3.43966E-4,79.511536682,0.842191951,0.04587801,0.763043478,0.810457516
3.44899E-4,79.752681226,0.842980294,0.045262788,0.765217391,0.810457516
3.45578E-4,80.028923435,0.843552228,0.044559677,0.767391304,0.810457516
3.46004E-4,80.270946023,0.843909208,0.043944454,0.771014493,0.810457516
3.47005E-4,80.513586533,0.844745901,0.043329232,0.773913043,0.810457516
3.4751E-4,80.756671828,0.84516582,0.042714009,0.777536232,0.810457516
3.47938E-4,81.000107019,0.84552143,0.042098787,0.78115942,0.810457516
3.49219E-4,81.279145537,0.846579995,0.041395676,0.783333333,0.816993464
3.5054E-4,81.524199213,0.847663862,0.040780454,0.786231884,0.816993464
3.5151E-4,81.770030729,0.848454741,0.040165231,0.79057971,0.823529412
3.52952E-4,82.016640961,0.849623484,0.039550009,0.792753623,0.823529412
3.54325E-4,82.254940736,0.850727448,0.038934786,0.796376812,0.823529412
3.55152E-4,82.512598427,0.851388738,0.038319564,0.800724638,0.830065359
3.55802E-4,82.761449933,0.851906839,0.037704342,0.802173913,0.830065359
3.5653E-4,83.010861134,0.852484295,0.037089119,0.803623188,0.830065359
3.57966E-4,83.260944344,0.853617057,0.036473897,0.806521739,0.830065359
3.59154E-4,83.512030612,0.854547319,0.035858675,0.808695652,0.830065359
3.59886E-4,83.763748579,0.855118181,0.035243452,0.810869565,0.830065359
3.61714E-4,84.016325809,0.856532186,0.03462823,0.813043478,0.843137255
3.63061E-4,84.270080617,0.857566433,0.034013008,0.815217391,0.843137255
3.64035E-4,84.524548058,0.858308673,0.033397785,0.81884058,0.843137255
3.64918E-4,84.779719054,0.858978772,0.032782563,0.823913043,0.843137255
3.6649E-4,85.035951705,0.860163899,0.03216734,0.826086957,0.849673203
3.66935E-4,85.256011217,0.860497336,0.031640007,0.826811594,0.849673203
3.676E-4,85.513167631,0.860994669,0.031024785,0.828985507,0.85620915
3.6828E-4,85.770781403,0.861501134,0.030409562,0.832608696,0.85620915
