Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplivateVial,Treatment,FliesNonInfected,FliesInfected,FliesControl,HostResistance,Virulence,Lethality
Hrcek,NS,3,AK,AK5,6,Hrcek_3_AK5_6,parasitoid,3,38,60.75,0.049382716,0.625514403,0.325102881
Hrcek,NS,3,AK,AK5,7,Hrcek_3_AK5_7,parasitoid,6,20,60.75,0.098765432,0.329218107,0.572016461
Hrcek,NS,3,AK,AK5,8,Hrcek_3_AK5_8,parasitoid,5,31,60.75,0.082304527,0.510288066,0.407407407
Hrcek,NS,1,AK,AK6,5,Hrcek_1_AK6_5,parasitoid,20,45,69,0.289855072,0.652173913,0.057971014
Hrcek,NS,1,AK,AK6,6,Hrcek_1_AK6_6,parasitoid,14,42,69,0.202898551,0.608695652,0.188405797
Hrcek,NS,1,AK,AK6,8,Hrcek_1_AK6_8,parasitoid,12,56,69,0.173913043,0.811594203,0.014492754
Hrcek,NS,4,AK,AK9,5,Hrcek_4_AK9_5,parasitoid,16,2,50.25,0.31840796,0.039800995,0.641791045
Hrcek,NS,4,AK,AK9,6,Hrcek_4_AK9_6,parasitoid,13,0,50.25,0.258706468,0,0.741293532
Hrcek,NS,4,AK,AK9,7,Hrcek_4_AK9_7,parasitoid,15,20,50.25,0.298507463,0.39800995,0.303482587
Hrcek,NS,4,AK,AK9,8,Hrcek_4_AK9_8,parasitoid,26,5,50.25,0.517412935,0.099502488,0.383084577
Hrcek,NS,4,AK,AK9,9,Hrcek_4_AK9_9,parasitoid,9,35,50.25,0.179104478,0.696517413,0.124378109
Hrcek,NS,4,GI,GI10,10,Hrcek_4_GI10_10,parasitoid,1,23,38.5,0.025974026,0.597402597,0.376623377
Hrcek,NS,4,GI,GI10,5,Hrcek_4_GI10_5,parasitoid,0,27,38.5,0,0.701298701,0.298701299
Hrcek,NS,4,GI,GI10,6,Hrcek_4_GI10_6,parasitoid,5,12,38.5,0.12987013,0.311688312,0.558441558
Hrcek,NS,4,GI,GI10,7,Hrcek_4_GI10_7,parasitoid,3,17,38.5,0.077922078,0.441558442,0.480519481
Hrcek,NS,4,GI,GI10,8,Hrcek_4_GI10_8,parasitoid,3,10,38.5,0.077922078,0.25974026,0.662337662
Hrcek,NS,4,GI,GI10,9,Hrcek_4_GI10_9,parasitoid,2,20,38.5,0.051948052,0.519480519,0.428571429
Hrcek,NS,3,GI,GI11,5,Hrcek_3_GI11_5,parasitoid,2,25,38,0.052631579,0.657894737,0.289473684
Hrcek,NS,3,GI,GI11,6,Hrcek_3_GI11_6,parasitoid,2,23,38,0.052631579,0.605263158,0.342105263
Hrcek,NS,3,GI,GI11,7,Hrcek_3_GI11_7,parasitoid,3,16,38,0.078947368,0.421052632,0.5
Hrcek,NS,3,GI,GI11,8,Hrcek_3_GI11_8,parasitoid,4,21,38,0.105263158,0.552631579,0.342105263
Hrcek,NS,3,GI,GI11,9,Hrcek_3_GI11_9,parasitoid,2,16,38,0.052631579,0.421052632,0.526315789
Hrcek,NS,4,GI,GI2,10,Hrcek_4_GI2_10,parasitoid,7,37,56,0.125,0.660714286,0.214285714
Hrcek,NS,4,GI,GI2,6,Hrcek_4_GI2_6,parasitoid,16,33,56,0.285714286,0.589285714,0.125
