"Model","Trait","Lab","Sex","Population","Estimate","SE"
"lmer_pop","DW","Onder","M","YE",0.252248317019541,0.00669044917954295
"lmer_pop","Fec","Billeter","F","AK",97.067079406603,9.15433279424836
"lmer_pop","Fec","Billeter","F","GI",74.193385341163,10.4646597907474
"lmer_pop","Fec","Billeter","F","KA",109.970362850032,9.12824212281626
"lmer_pop","Fec","Billeter","F","MA",99.1196002990315,9.86787742293093
"lmer_pop","Fec","Billeter","F","MU",93.8424544805221,9.54629402703419
"lmer_pop","Fec","Billeter","F","RE",67.8538074348257,10.896370505925
"lmer_pop","Fec","Billeter","F","UM",102.826666666667,10.5374640305714
"lmer_pop","Fec","Billeter","F","VA",86.3332862946956,9.08017748273629
"lmer_pop","Fec","Billeter","F","YE",63.9366984711255,9.17854519754608
"lmer_pop","Fec","Fricke","F","AK",61.0780193429492,6.77043122189413
"lmer_pop","Fec","Fricke","F","GI",50.0402779406159,7.36558760813746
"lmer_pop","Fec","Fricke","F","KA",50.7965512665477,6.604239504494
"lmer_pop","Fec","Fricke","F","MA",55.990609519637,6.49090915711998
"lmer_pop","Fec","Fricke","F","MU",56.8858337344434,6.65879866079455
"lmer_pop","Fec","Fricke","F","RE",57.3414876231764,7.27561582475204
"lmer_pop","Fec","Fricke","F","UM",47.0003745368246,6.83905295067245
"lmer_pop","Fec","Fricke","F","VA",53.8885232595347,6.62215338373714
"lmer_pop","Fec","Fricke","F","YE",53.2088906296768,6.59186838356195
"lmer_pop","HSM","Parsch","F","AK",394.107974937708,25.0876652431553
"lmer_pop","HSM","Parsch","F","GI",337.50455604659,24.5115221576488
"lmer_pop","HSM","Parsch","F","KA",369.68902393966,24.5730635747213
"lmer_pop","HSM","Parsch","F","MA",421.920620581849,25.2150459475461
"lmer_pop","HSM","Parsch","F","MU",400.14345828573,24.5864707646433
"lmer_pop","HSM","Parsch","F","RE",323.231887851289,24.4090225181534
"lmer_pop","HSM","Parsch","F","UM",395.050160638931,25.3713330101118
"lmer_pop","HSM","Parsch","F","VA",384.984642775628,25.4135496590179
"lmer_pop","HSM","Parsch","F","YE",312.131096698231,24.1877414912204
"lmer_pop","HSM","Vieira","F","AK",362.738912230308,5.72900106585395
"lmer_pop","HSM","Vieira","F","GI",333.996329900921,6.52958770342557
"lmer_pop","HSM","Vieira","F","KA",363.872498342773,6.03317620380407
"lmer_pop","HSM","Vieira","F","MA",372.450610507652,5.80159053232206
"lmer_pop","HSM","Vieira","F","MU",331.900283785168,5.40811341836057
"lmer_pop","HSM","Vieira","F","RE",377.147198249797,6.57379089958537
"lmer_pop","HSM","Vieira","F","UM",364.562663449509,5.82830198329718
"lmer_pop","HSM","Vieira","F","VA",357.419017593505,5.51727190253663
"lmer_pop","HSM","Vieira","F","YE",362.175513535311,5.68732864009083
"lmer_pop","HSM","Parsch","M","AK",382.380224493639,25.9950183365633
"lmer_pop","HSM","Parsch","M","GI",285.061832523094,26.0006961767813
"lmer_pop","HSM","Parsch","M","KA",339.670233272902,25.9468826039625
"lmer_pop","HSM","Parsch","M","MA",387.411564839613,26.0046775757547
"lmer_pop","HSM","Parsch","M","MU",352.286100234086,25.9471866003394
"lmer_pop","HSM","Parsch","M","RE",263.135389128366,25.9504330723937
"lmer_pop","HSM","Parsch","M","UM",369.252725725731,26.2519447227925
"lmer_pop","HSM","Parsch","M","VA",353.081869021315,26.2448082543391
"lmer_pop","HSM","Parsch","M","YE",257.98210608724,25.7941521387771
"lmer_pop","HSM","Vieira","M","AK",343.597214832189,9.40669083566098
"lmer_pop","HSM","Vieira","M","GI",277.185694341649,11.1692595359121
"lmer_pop","HSM","Vieira","M","KA",326.787051930491,9.78942119366237
"lmer_pop","HSM","Vieira","M","MA",319.604861189006,10.2443625623836
"lmer_pop","HSM","Vieira","M","MU",306.20194019397,9.86930429381882
"lmer_pop","HSM","Vieira","M","RE",327.221001357534,11.8972457451098
"lmer_pop","HSM","Vieira","M","UM",314.506130884785,9.64560697195123
"lmer_pop","HSM","Vieira","M","VA",320.015641190187,10.4340258331719
"lmer_pop","HSM","Vieira","M","YE",324.994921862007,10.4581636114477
"lmer_pop","LS","Flatt","F","AK",60.0334083471987,0.913188602177636
"lmer_pop","LS","Flatt","F","GI",42.9476510696144,0.894549478436799
"lmer_pop","LS","Flatt","F","KA",55.4245728549657,0.897220677995132
"lmer_pop","LS","Flatt","F","MA",50.5195038484177,0.907358112300715
"lmer_pop","LS","Flatt","F","MU",57.4201509703876,0.910317968240499
"lmer_pop","LS","Flatt","F","RE",45.6074076641402,0.903840027616973
"lmer_pop","LS","Flatt","F","UM",51.6707988516064,0.920765096702145
"lmer_pop","LS","Flatt","F","VA",56.2710886458523,0.9109429708573
"lmer_pop","LS","Flatt","F","YE",49.6624212036329,0.901090326164107
"lmer_pop","LS","Parsch","F","AK",59.6254002624653,2.99951182963867
"lmer_pop","LS","Parsch","F","GI",54.9091890452623,3.00565750038223
"lmer_pop","LS","Parsch","F","KA",56.8662492693028,3.00339774116221
"lmer_pop","LS","Parsch","F","MA",47.306385648494,3.01067953873076
"lmer_pop","LS","Parsch","F","MU",54.0138531960151,3.0034708849
"lmer_pop","LS","Parsch","F","RE",46.4384279345311,3.00142856936216
"lmer_pop","LS","Parsch","F","UM",49.0834928269676,3.00392806042859
