"Population","Line","CCRT_F","CCRT_M","CSM_F","CSM_M","DT_P_NA","DT_A_F","DT_A_M","Dia_F","DW_F","DW_M","Fec_F","HSM_F","HSM_M","LS_F","LS_M","LA_NDlog2_B","LA_Period_B","LA_CircPhase_B","LA_Activity_B","Pgm_T4_F","Pgm_T5_F","Pgm_T6_F","Pgm_Total_F","SR_F","SR_M","TL_F","TL_M","Via_NA","WA_L_F","WA_L_M","WA_R_F","WA_R_M"
"RE","RE5",-75.16104589862,-4.27487043225355,-0.0601418347430059,-0.00295519542421354,-1.069,-1.95111546003437,-3.02998043912896,0.933839057464025,-0.0250892605494282,-0.0125798590233053,10.5958171295843,26.6826317922422,72.2755535258607,6.42159902912621,4.78739189189189,NA,NA,NA,NA,-0.0107859591087983,-0.0671659631902824,-0.0326588488641763,-0.0456211214149241,-6.13249269880871,-8.145932889581,-10.502,NA,-0.00976341507152131,-5.84861842069105,-20.3643145664017,-2.32616650763067,-20.1126785925469
"RE","RE6",61.7452690898895,-79.0134719575453,-0.133050330645968,-0.00583746257575078,14.639,9.8763378986674,8.4678388714725,-0.779338137999758,-0.00332599518859789,-0.00801424535964987,11.9123479650929,41.598794920975,53.776005453433,2.02110464826573,-2.12804460661538,0.129,0.071,0.029,5.513,-0.0299653407939139,-0.0104442223355425,0.0978913691094037,0.010182757106155,-7.20746946135652,-4.48638753881806,9.1393324240771,22.207,-0.075125029291726,40.9235950778108,44.2168109159336,41.0998842276621,52.2124360788586
"RE","RE7",-143.410269854076,-40.5315281725276,-0.0446511319538123,-0.0222560762850282,-13.497,-3.31349468696176,-2.83871327963791,0.173063696489574,0.00844892481938147,0.0264939354902437,11.7965408648977,33.8416720664603,50.8286420565611,-3.40697375809935,-0.210847651263722,0.013,0.024,0.001,1.388,0.0525393558268316,0.0580050511740377,-0.00940907921042867,0.0429816700610998,19.6303089612127,13.151383899501,10.2720943554392,1.542,-0.017323269419319,80.3970260691858,55.8275770739827,83.0418364694384,55.3674271235136
"RE","RE8",-88.6568602945246,-43.4298587374525,-0.0262536381154894,-0.00109005376344087,-8.813,0.253164819801844,1.71612385014086,-0.521086659908553,-0.0173613707165109,0.00432558139534884,34.355,25.737514819329,-43.5066448583044,-2.15781505059552,-5.68236586505607,0.08,-0.003,-0.019,3.805,-0.0188526011560694,0.0412340425531915,0.119321678321678,0.0483066666666667,-12.3117339546069,-5.49570961769119,NA,NA,-0.0394121677631323,1.90788123515439,10.5311715337629,4.29263633908315,13.3319924771628
"RE","RE9",7.965,7.704,-0.219,-0.357,NA,NA,NA,NA,NA,NA,NA,1.476,26.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GI","GI1",-26.2034723481646,-64.0138650703875,-0.0756669425112996,0.0365735839193488,21.096,3.81261205488068,5.6508642665619,-1.78561391098488,0.0255261834481251,0.0110761220150711,-9.52188650569478,4.75133169205091,19.2193315819103,-5.54884745433136,-2.71083030968338,0.17,0.004,0.037,9.421,-0.0343367266303636,-0.0763205475150504,-0.232657597627867,-0.10327773697014,-3.99476204450809,-4.07326469097421,2.24370682592676,5.52654481726241,0.0576944187811389,43.9504988011162,3.98952732704995,43.490021323133,3.09964466490608
"GI","GI10",25.5629395985587,33.4390943579702,-0.174937846836848,-0.219867747868249,-2.753,1.04886291875709,0.881085170867466,0.0304344258159909,0.00509632833718942,0.00432335907335907,7.98154779091454,31.2053773345926,21.1680811014825,-0.115269141257162,1.63725443660466,NA,NA,NA,NA,0.0509242700573714,-0.111365020156587,-0.183851815310131,-0.0614007707400677,3.46848159681782,4.4606339813545,2.83385126241853,17.369,0.0944478247297167,13.0576005810029,13.1651862852328,11.6897470440477,14.5064722371082
"GI","GI11",-103.14598957176,-124.375726580242,0.0652303822717041,-0.0681590186534128,-3.026,-0.842766007820495,-0.107915161899117,-0.34040878247817,-0.0337326558775561,-0.0122209302325581,-9.50109412982365,20.3510900614814,12.9302679981421,-0.321795440254713,-3.06625558534406,NA,NA,NA,NA,-0.000741241440921101,-0.0323390275304846,-0.0285774412054444,-0.0117528897363142,-2.29966366115585,-10.6490389077508,-21.7843878544178,12.48,0.0328721063158139,6.84955151721644,24.3218269831943,5.09460893092829,23.8133463201637
"GI","GI12",-93.6677085302153,-87.0044597463062,0.00117962466487936,0.216550242434376,-2.942,5.60113859070113,5.11942114397579,0.399170085602553,-0.0275739179546082,-0.0212971103883967,-22.3289070489175,-4.7336745926042,-9.32718290795137,-4.208,-6.712,NA,NA,NA,NA,-0.00195722834863257,-0.0129300979203876,0.00218777365409799,-0.00896622569811261,-13.1409168712232,-3.02991492241049,-15.958,NA,-0.0947364675576902,-121.17,-67.645,-118.156,-68.9
"GI","GI13",-85.4012681753106,36.8958076186669,0.0533027111249611,-0.060608593880622,3.11,2.70715822385485,6.78536029200805,0.405339251485572,0.00226203170223394,-0.00313896083528637,-6.47640278390401,3.85730860897145,-15.6060211957529,3.824715233139,9.23840750150693,NA,NA,NA,NA,0.0206278586278586,-0.0532222222222222,-0.00327463532374856,-0.00628571428571429,-7.13273473499091,-8.97369954795325,10.478,NA,0.00537047750842083,2.595,9.433,4.396,11.228
