Model	Trait	Sex	Population	Line	Value_re_Abbott	Value_re_Gibert	Value_re_Schmidt	SE_re_Abbott	SE_re_Gibert	SE_re_Schmidt
lmer_pop	Pgm_T5	F	RE	RE17	0.019	0.012	-0.162	0.021	0.031	0.066
lmer_pop	Pgm_T5	F	RE	RE18	0.011	0.012	0.222	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE2	0.095	0.069	0.375	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE3	-0.123	-0.13	-0.321	0.024	0.031	0.075
lmer_pop	Pgm_T5	F	RE	RE4	-0.019	-0.016	-0.228	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE5	-0.037	0.054	-0.298	0.022	0.031	0.081
lmer_pop	Pgm_T5	F	RE	RE6	-0.033	-0.004	0.069	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	RE	RE7	0.051	0.057	0.115	0.022	0.023	0.059
lmer_pop	Pgm_T5	F	RE	RE8	-0.003	0.091	NA	0.021	0.031	NA
lmer_pop	Pgm_T5	F	UM	UM13	0.016	-0.014	0.023	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM17	0.002	0.041	0.086	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM18	-0.014	-0.045	0.01	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM2	-0.034	-0.086	-0.136	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM20	0.002	-0.004	0.022	0.021	0.031	0.075
lmer_pop	Pgm_T5	F	UM	UM21	0.018	0.027	-0.021	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM22	-0.01	-0.038	-0.278	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM23	0.029	-0.044	-0.232	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM25	-0.106	-0.006	0.041	0.02	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM26	0.003	0.054	NA	0.021	0.031	NA
lmer_pop	Pgm_T5	F	UM	UM28	0.031	0.034	0.244	0.021	0.031	0.059
lmer_pop	Pgm_T5	F	UM	UM29	-0.065	-0.042	-0.215	0.02	0.031	0.059
