"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","F","9",1,"MU",10,"MU10; MU11; MU12; MU13; MU15; MU19; MU20; MU6; MU7; MU9",10,"Vieira_9_MU10_F_1; Vieira_9_MU11_F_1; Vieira_9_MU12_F_1; Vieira_9_MU13_F_1; Vieira_9_MU15_F_1; Vieira_9_MU19_F_1; Vieira_9_MU20_F_1; Vieira_9_MU6_F_1; Vieira_9_MU7_F_1; Vieira_9_MU9_F_1",60
"Vieira","S","F","10",1,"MU",4,"MU14; MU16; MU17; MU18",4,"Vieira_10_MU14_F_1; Vieira_10_MU16_F_1; Vieira_10_MU17_F_1; Vieira_10_MU18_F_1",24
"Vieira","S","F","11",1,"RE",4,"RE12; RE16; RE17; RE18",4,"Vieira_11_RE12_F_1; Vieira_11_RE16_F_1; Vieira_11_RE17_F_1; Vieira_11_RE18_F_1",24
"Vieira","S","F","12",1,"KA",3,"KA10; KA7; KA9",3,"Vieira_12_KA10_F_1; Vieira_12_KA7_F_1; Vieira_12_KA9_F_1",18
"Vieira","S","F","13",2,"RE; UM",5,"RE2; UM25; UM29; UM4; UM8",5,"Vieira_13_RE2_F_1; Vieira_13_UM25_F_1; Vieira_13_UM29_F_1; Vieira_13_UM4_F_1; Vieira_13_UM8_F_1",30
"Vieira","S","F","14",2,"KA; UM",5,"KA2; KA3; KA5; UM22; UM26",5,"Vieira_14_KA2_F_1; Vieira_14_KA3_F_1; Vieira_14_KA5_F_1; Vieira_14_UM22_F_1; Vieira_14_UM26_F_1",30
"Vieira","S","F","15",1,"KA",5,"KA1; KA11; KA13; KA14; KA6",5,"Vieira_15_KA1_F_1; Vieira_15_KA11_F_1; Vieira_15_KA13_F_1; Vieira_15_KA14_F_1; Vieira_15_KA6_F_1",30
"Vieira","S","F","16",2,"KA; UM",7,"KA15; KA16; KA23; KA24; KA25; KA28; UM28",7,"Vieira_16_KA15_F_1; Vieira_16_KA16_F_1; Vieira_16_KA23_F_1; Vieira_16_KA24_F_1; Vieira_16_KA25_F_1; Vieira_16_KA28_F_1; Vieira_16_UM28_F_1",42
"Vieira","S","F","17",1,"KA",1,"KA17",1,"Vieira_17_KA17_F_1",6
"Vieira","S","F","18",2,"KA; MA",5,"KA18; KA29; MA3; MA5; MA6",5,"Vieira_18_KA18_F_1; Vieira_18_KA29_F_1; Vieira_18_MA3_F_1; Vieira_18_MA5_F_1; Vieira_18_MA6_F_1",30
