"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Vieira","S","M","5",3,"AK; GI; MU",6,"AK1; AK5; AK7; AK8; GI4; MU16",18,"Vieira_5_AK7_M_1; Vieira_5_GI4_M_1; Vieira_5_AK1_M_1; Vieira_5_AK1_M_2; Vieira_5_AK1_M_3; Vieira_5_AK5_M_1; Vieira_5_AK5_M_2; Vieira_5_AK5_M_3; Vieira_5_AK7_M_2; Vieira_5_AK7_M_3; Vieira_5_AK8_M_1; Vieira_5_AK8_M_2; Vieira_5_AK8_M_3; Vieira_5_GI4_M_2; Vieira_5_GI4_M_3; Vieira_5_MU16_M_1; Vieira_5_MU16_M_2; Vieira_5_MU16_M_3",18
"Vieira","S","M","6",1,"AK",4,"AK10; AK11; AK12; AK13",12,"Vieira_6_AK10_M_1; Vieira_6_AK10_M_2; Vieira_6_AK10_M_3; Vieira_6_AK11_M_1; Vieira_6_AK11_M_2; Vieira_6_AK11_M_3; Vieira_6_AK12_M_1; Vieira_6_AK12_M_2; Vieira_6_AK12_M_3; Vieira_6_AK13_M_1; Vieira_6_AK13_M_2; Vieira_6_AK13_M_3",12
"Vieira","S","M","7",1,"GI",3,"GI1; GI11; GI15",9,"Vieira_7_GI15_M_1; Vieira_7_GI1_M_1; Vieira_7_GI1_M_2; Vieira_7_GI1_M_3; Vieira_7_GI11_M_1; Vieira_7_GI11_M_2; Vieira_7_GI11_M_3; Vieira_7_GI15_M_2; Vieira_7_GI15_M_3",9
"Vieira","S","M","8",2,"AK; GI",4,"AK20; AK6; GI5; GI8",12,"Vieira_8_AK20_M_1; Vieira_8_AK20_M_2; Vieira_8_AK20_M_3; Vieira_8_AK6_M_1; Vieira_8_AK6_M_2; Vieira_8_AK6_M_3; Vieira_8_GI5_M_1; Vieira_8_GI5_M_2; Vieira_8_GI5_M_3; Vieira_8_GI8_M_1; Vieira_8_GI8_M_2; Vieira_8_GI8_M_3",12
"Vieira","S","M","9",1,"GI",4,"GI10; GI12; GI13; GI9",12,"Vieira_9_GI10_M_1; Vieira_9_GI10_M_2; Vieira_9_GI10_M_3; Vieira_9_GI12_M_1; Vieira_9_GI12_M_2; Vieira_9_GI12_M_3; Vieira_9_GI13_M_1; Vieira_9_GI13_M_2; Vieira_9_GI13_M_3; Vieira_9_GI9_M_1; Vieira_9_GI9_M_2; Vieira_9_GI9_M_3",12
"Vieira","S","M","10",1,"UM",5,"UM13; UM17; UM18; UM20; UM9",15,"Vieira_10_UM13_M_1; Vieira_10_UM13_M_2; Vieira_10_UM13_M_3; Vieira_10_UM17_M_1; Vieira_10_UM17_M_2; Vieira_10_UM17_M_3; Vieira_10_UM18_M_1; Vieira_10_UM18_M_2; Vieira_10_UM18_M_3; Vieira_10_UM20_M_1; Vieira_10_UM20_M_2; Vieira_10_UM20_M_3; Vieira_10_UM9_M_1; Vieira_10_UM9_M_2; Vieira_10_UM9_M_3",15
"Vieira","S","M","11",1,"UM",3,"UM21; UM23; UM24",9,"Vieira_11_UM21_M_1; Vieira_11_UM21_M_2; Vieira_11_UM21_M_3; Vieira_11_UM23_M_1; Vieira_11_UM23_M_2; Vieira_11_UM23_M_3; Vieira_11_UM24_M_1; Vieira_11_UM24_M_2; Vieira_11_UM24_M_3",9
"Vieira","S","M","12",1,"RE",4,"RE5; RE6; RE7; RE8",12,"Vieira_12_RE5_M_1; Vieira_12_RE5_M_2; Vieira_12_RE5_M_3; Vieira_12_RE6_M_1; Vieira_12_RE6_M_2; Vieira_12_RE6_M_3; Vieira_12_RE7_M_1; Vieira_12_RE7_M_2; Vieira_12_RE7_M_3; Vieira_12_RE8_M_1; Vieira_12_RE8_M_2; Vieira_12_RE8_M_3",12
"Vieira","S","M","13",1,"RE",4,"RE2; RE3; RE4; RE9",12,"Vieira_13_RE2_M_1; Vieira_13_RE2_M_2; Vieira_13_RE2_M_3; Vieira_13_RE3_M_1; Vieira_13_RE3_M_2; Vieira_13_RE3_M_3; Vieira_13_RE4_M_1; Vieira_13_RE4_M_2; Vieira_13_RE4_M_3; Vieira_13_RE9_M_1; Vieira_13_RE9_M_2; Vieira_13_RE9_M_3",12
"Vieira","S","M","14",1,"AK",3,"AK16; AK17; AK4",9,"Vieira_14_AK16_M_1; Vieira_14_AK16_M_2; Vieira_14_AK16_M_3; Vieira_14_AK17_M_1; Vieira_14_AK17_M_2; Vieira_14_AK17_M_3; Vieira_14_AK4_M_1; Vieira_14_AK4_M_2; Vieira_14_AK4_M_3",9
"Vieira","S","M","15",1,"RE",7,"RE10; RE11; RE13; RE15; RE16; RE17; RE18",21,"Vieira_15_RE10_M_1; Vieira_15_RE10_M_2; Vieira_15_RE10_M_3; Vieira_15_RE11_M_1; Vieira_15_RE11_M_2; Vieira_15_RE11_M_3; Vieira_15_RE13_M_1; Vieira_15_RE13_M_2; Vieira_15_RE13_M_3; Vieira_15_RE15_M_1; Vieira_15_RE15_M_2; Vieira_15_RE15_M_3; Vieira_15_RE16_M_1; Vieira_15_RE16_M_2; Vieira_15_RE16_M_3; Vieira_15_RE17_M_1; Vieira_15_RE17_M_2; Vieira_15_RE17_M_3; Vieira_15_RE18_M_1; Vieira_15_RE18_M_2; Vieira_15_RE18_M_3",21
"Vieira","S","M","16",2,"KA; RE",5,"KA10; KA6; KA7; KA9; RE12",15,"Vieira_16_KA10_M_1; Vieira_16_KA10_M_2; Vieira_16_KA10_M_3; Vieira_16_KA6_M_1; Vieira_16_KA6_M_2; Vieira_16_KA6_M_3; Vieira_16_KA7_M_1; Vieira_16_KA7_M_2; Vieira_16_KA7_M_3; Vieira_16_KA9_M_1; Vieira_16_KA9_M_2; Vieira_16_KA9_M_3; Vieira_16_RE12_M_1; Vieira_16_RE12_M_2; Vieira_16_RE12_M_3",15
