"Lab","Diet","Sex","Population","Line","Replicate_count","Replicate_ids","Observation_count","Batch_count","Batch_ids"
"Gibert","NS",NA,"MU","MU9",3,"Gibert_1_MU9_1; Gibert_1_MU9_2; Gibert_1_MU9_3",3,1,"1"
"Gibert","NS",NA,"RE","RE1",3,"Gibert_2_RE1_1; Gibert_2_RE1_2; Gibert_2_RE1_3",3,1,"2"
"Gibert","NS",NA,"RE","RE10",3,"Gibert_1_RE10_1; Gibert_1_RE10_2; Gibert_1_RE10_3",3,1,"1"
"Gibert","NS",NA,"RE","RE11",3,"Gibert_1_RE11_1; Gibert_1_RE11_2; Gibert_1_RE11_3",3,1,"1"
"Gibert","NS",NA,"RE","RE12",3,"Gibert_1_RE12_1; Gibert_1_RE12_2; Gibert_1_RE12_3",3,1,"1"
"Gibert","NS",NA,"RE","RE13",3,"Gibert_1_RE13_1; Gibert_1_RE13_2; Gibert_1_RE13_3",3,1,"1"
"Gibert","NS",NA,"RE","RE15",3,"Gibert_1_RE15_1; Gibert_1_RE15_2; Gibert_1_RE15_3",3,1,"1"
"Gibert","NS",NA,"RE","RE16",3,"Gibert_2_RE16_1; Gibert_2_RE16_2; Gibert_2_RE16_3",3,1,"2"
"Gibert","NS",NA,"RE","RE17",2,"Gibert_2_RE17_1; Gibert_2_RE17_3",2,1,"2"
"Gibert","NS",NA,"RE","RE18",3,"Gibert_1_RE18_1; Gibert_1_RE18_2; Gibert_1_RE18_3",3,1,"1"
"Gibert","NS",NA,"RE","RE2",3,"Gibert_2_RE2_1; Gibert_2_RE2_2; Gibert_2_RE2_3",3,1,"2"
"Gibert","NS",NA,"RE","RE3",3,"Gibert_1_RE3_1; Gibert_1_RE3_2; Gibert_1_RE3_3",3,1,"1"
"Gibert","NS",NA,"RE","RE4",3,"Gibert_2_RE4_1; Gibert_2_RE4_2; Gibert_2_RE4_3",3,1,"2"
"Gibert","NS",NA,"RE","RE5",3,"Gibert_2_RE5_1; Gibert_2_RE5_2; Gibert_2_RE5_3",3,1,"2"
"Gibert","NS",NA,"RE","RE6",3,"Gibert_1_RE6_1; Gibert_1_RE6_2; Gibert_1_RE6_3",3,1,"1"
"Gibert","NS",NA,"RE","RE7",6,"Gibert_1_RE7_1; Gibert_1_RE7_2; Gibert_1_RE7_3; Gibert_2_RE7_1; Gibert_2_RE7_2; Gibert_2_RE7_3",6,2,"1; 2"
"Gibert","NS",NA,"RE","RE8",3,"Gibert_1_RE8_1; Gibert_1_RE8_2; Gibert_1_RE8_3",3,1,"1"
"Gibert","NS",NA,"UM","UM13",3,"Gibert_2_UM13_1; Gibert_2_UM13_2; Gibert_2_UM13_3",3,1,"2"
"Gibert","NS",NA,"UM","UM17",3,"Gibert_1_UM17_1; Gibert_1_UM17_2; Gibert_1_UM17_3",3,1,"1"
"Gibert","NS",NA,"UM","UM18",3,"Gibert_1_UM18_1; Gibert_1_UM18_2; Gibert_1_UM18_3",3,1,"1"
"Gibert","NS",NA,"UM","UM2",3,"Gibert_1_UM2_1; Gibert_1_UM2_2; Gibert_1_UM2_3",3,1,"1"
"Gibert","NS",NA,"UM","UM20",3,"Gibert_1_UM20_1; Gibert_1_UM20_2; Gibert_1_UM20_3",3,1,"1"
"Gibert","NS",NA,"UM","UM21",3,"Gibert_2_UM21_1; Gibert_2_UM21_2; Gibert_2_UM21_3",3,1,"2"
"Gibert","NS",NA,"UM","UM22",3,"Gibert_2_UM22_1; Gibert_2_UM22_2; Gibert_2_UM22_3",3,1,"2"
"Gibert","NS",NA,"UM","UM23",3,"Gibert_1_UM23_1; Gibert_1_UM23_2; Gibert_1_UM23_3",3,1,"1"
"Gibert","NS",NA,"UM","UM25",3,"Gibert_1_UM25_1; Gibert_1_UM25_2; Gibert_1_UM25_3",3,1,"1"
"Gibert","NS",NA,"UM","UM26",3,"Gibert_2_UM26_1; Gibert_2_UM26_2; Gibert_2_UM26_3",3,1,"2"
"Gibert","NS",NA,"UM","UM28",3,"Gibert_2_UM28_1; Gibert_2_UM28_2; Gibert_2_UM28_3",3,1,"2"
"Gibert","NS",NA,"UM","UM29",3,"Gibert_1_UM29_1; Gibert_1_UM29_2; Gibert_1_UM29_3",3,1,"1"
"Gibert","NS",NA,"UM","UM4",3,"Gibert_2_UM4_1; Gibert_2_UM4_2; Gibert_2_UM4_3",3,1,"2"
"Gibert","NS",NA,"UM","UM5",3,"Gibert_2_UM5_1; Gibert_2_UM5_2; Gibert_2_UM5_3",3,1,"2"
"Gibert","NS",NA,"UM","UM6",3,"Gibert_2_UM6_1; Gibert_2_UM6_2; Gibert_2_UM6_3",3,1,"2"
"Gibert","NS",NA,"UM","UM7",6,"Gibert_1_UM7_1; Gibert_1_UM7_2; Gibert_1_UM7_3; Gibert_2_UM7_1; Gibert_2_UM7_2; Gibert_2_UM7_3",6,2,"1; 2"
"Gibert","NS",NA,"UM","UM8",3,"Gibert_2_UM8_1; Gibert_2_UM8_2; Gibert_2_UM8_3",3,1,"2"
"Gibert","NS",NA,"UM","UM9",3,"Gibert_1_UM9_1; Gibert_1_UM9_2; Gibert_1_UM9_3",3,1,"1"
"Gibert","NS",NA,"VA","VA1",3,"Gibert_1_VA1_1; Gibert_1_VA1_2; Gibert_1_VA1_3",3,1,"1"
