Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	TL	Schmidt	F	UM	UM9	0.658	9.892
lmer_pop	TL	Schmidt	F	VA	VA11	11.408	9.892
lmer_pop	TL	Schmidt	F	VA	VA15	15.145	9.892
lmer_pop	TL	Schmidt	F	VA	VA18	-10.258	9.892
lmer_pop	TL	Schmidt	F	VA	VA22	-26.694	9.892
lmer_pop	TL	Schmidt	F	VA	VA26	-51.221	9.892
lmer_pop	TL	Schmidt	F	VA	VA30	11.081	9.892
lmer_pop	TL	Schmidt	F	VA	VA34	-19.421	9.892
lmer_pop	TL	Schmidt	F	VA	VA35	0.646	9.892
lmer_pop	TL	Schmidt	F	VA	VA44	36.124	10.763
lmer_pop	TL	Schmidt	F	VA	VA46	14.614	9.892
lmer_pop	TL	Schmidt	F	VA	VA47	-3.282	9.892
lmer_pop	TL	Schmidt	F	VA	VA48	2.211	9.892
lmer_pop	TL	Schmidt	F	VA	VA55	8.49	9.892
lmer_pop	TL	Schmidt	F	VA	VA57	6.929	9.892
lmer_pop	TL	Schmidt	F	VA	VA66	20.546	9.892
lmer_pop	TL	Schmidt	F	VA	VA67	-29.325	9.892
lmer_pop	TL	Schmidt	F	VA	VA71	13.007	9.892
lmer_pop	TL	Schmidt	F	YE	YE11	-25.506	11.294
lmer_pop	TL	Schmidt	F	YE	YE13	-24.697	9.892
lmer_pop	TL	Schmidt	F	YE	YE14	21.761	9.892
lmer_pop	TL	Schmidt	F	YE	YE15	25.998	11.294
lmer_pop	TL	Schmidt	F	YE	YE19	-18.892	9.892
lmer_pop	TL	Schmidt	F	YE	YE20	10.276	9.892
lmer_pop	TL	Schmidt	F	YE	YE21	6.509	9.892
lmer_pop	TL	Schmidt	F	YE	YE22	8.703	9.892
lmer_pop	TL	Schmidt	F	YE	YE23	3.35	9.892
lmer_pop	TL	Schmidt	F	YE	YE24	30.135	10.763
lmer_pop	TL	Schmidt	F	YE	YE26	10.662	11.294
lmer_pop	TL	Schmidt	F	YE	YE27	16.579	9.892
lmer_pop	TL	Schmidt	F	YE	YE33	-37.554	9.892
lmer_pop	TL	Schmidt	F	YE	YE40	40.093	10.763
lmer_pop	TL	Schmidt	F	YE	YE41	-4.23	9.892
lmer_pop	TL	Schmidt	F	YE	YE48	-21.88	9.892
lmer_pop	TL	Schmidt	F	YE	YE49	-43.984	9.892
lmer_pop	TL	Schmidt	F	YE	YE51	21.067	11.294
lmer_pop	TL	Schmidt	F	YE	YE69	-22.256	9.892
lmer_pop	TL	Schmidt	F	YE	YE80	3.868	9.892
lmer_pop	TL	Kozeretska	M	AK	AK1	-8.923	16.935
lmer_pop	TL	Kozeretska	M	AK	AK10	-12.447	16.935
lmer_pop	TL	Kozeretska	M	AK	AK11	-13.094	16.935
lmer_pop	TL	Kozeretska	M	AK	AK12	-18.63	16.935
lmer_pop	TL	Kozeretska	M	AK	AK13	0.884	16.935
lmer_pop	TL	Kozeretska	M	AK	AK14	19.694	16.935
lmer_pop	TL	Kozeretska	M	AK	AK15	19.295	20.048
lmer_pop	TL	Kozeretska	M	AK	AK16	-14.201	16.935
lmer_pop	TL	Kozeretska	M	AK	AK17	8.305	16.935
