Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Total	Dead	CSM_PropDead	CSM_PropDead_ED	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	CSM_PropDead_ED_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gonzalez	S	1	GI	GI4	M	1	Gonzalez_1_GI4_M_1	17	15	88.2	0.8823529412	Spain	41.618	0.62	173	GI	GI	GI	1.22069054906427	#B82E00	+	+	+	0.066
Gonzalez	S	5	GI	GI11	M	1	Gonzalez_5_GI11_M_1	19	19	100	1	Spain	41.618	0.62	173	GI	GI	GI	1.5707963267949	#B82E00	+	+	+	0.066
Gonzalez	S	6	GI	GI11	M	2	Gonzalez_6_GI11_M_2	20	19	95	0.95	Spain	41.618	0.62	173	GI	GI	GI	1.34528292089677	#B82E00	+	+	+	0.066
Gonzalez	S	7	GI	GI11	M	3	Gonzalez_7_GI11_M_3	19	8	42.1	0.4210526316	Spain	41.618	0.62	173	GI	GI	GI	0.706119023099918	#B82E00	+	+	+	0.066
Gonzalez	S	1	MU	MU1	F	1	Gonzalez_1_MU1_F_1	19	18	94.7	0.9473684211	Germany	48.18	11.61	520	MU	MU	MU	1.33931896293078	#F6C200	-	-	-	0.066
Gonzalez	S	1	MU	MU1	M	1	Gonzalez_1_MU1_M_1	19	6	31.6	0.3157894737	Germany	48.18	11.61	520	MU	MU	MU	0.596743147234558	#F6C200	-	-	-	0.066
Gonzalez	S	3	GI	GI14	M	1	Gonzalez_3_GI14_M_1	18	15	83.3	0.8333333333	Spain	41.618	0.62	173	GI	GI	GI	1.15026199146621	#B82E00	+	+	+	0.066
Gonzalez	S	5	GI	GI14	M	2	Gonzalez_5_GI14_M_2	21	10	47.6	0.4761904762	Spain	41.618	0.62	173	GI	GI	GI	0.761579632094781	#B82E00	+	+	+	0.066
Gonzalez	S	6	GI	GI14	M	3	Gonzalez_6_GI14_M_3	15	9	60	0.6	Spain	41.618	0.62	173	GI	GI	GI	0.886077123792614	#B82E00	+	+	+	0.066
Gonzalez	S	7	GI	GI14	M	4	Gonzalez_7_GI14_M_4	18	4	22.2	0.2222222222	Spain	41.618	0.62	173	GI	GI	GI	0.490882678262585	#B82E00	+	+	+	0.066
Gonzalez	S	1	GI	GI15	M	1	Gonzalez_1_GI15_M_1	20	13	65	0.65	Spain	41.618	0.62	173	GI	GI	GI	0.937744490405147	#B82E00	+	+	+	0.066
Gonzalez	S	3	GI	GI15	M	2	Gonzalez_3_GI15_M_2	16	6	37.5	0.375	Spain	41.618	0.62	173	GI	GI	GI	0.659058035826409	#B82E00	+	+	+	0.066
Gonzalez	S	4	GI	GI15	M	3	Gonzalez_4_GI15_M_3	18	18	100	1	Spain	41.618	0.62	173	GI	GI	GI	1.5707963267949	#B82E00	+	+	+	0.066
