Supervisor.PI	Diet	Batch	Population	Line	Sex	Individual	PercT4	PercT5	PercT6	TotalPerc	PercT4_asin	PercT5_asin	PercT6_asin	TotalPerc_asin	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Gibert	NS	1	AK	AK10	F	1	26.011	34.578	59.432	38.61151203	0.535196187802024	0.628621844738575	0.88028671261203	0.670504852376294	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	2	26.978	38.922	53.377	37.80244675	0.546152761943467	0.673691193508666	0.8191938907399	0.662179197423877	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	3	15.263	23.72	40.268	24.96817854	0.401368985641428	0.508688046049018	0.68745295467143	0.523231255011769	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	4	11.42	25.952	33.927	23.2599752	0.344721851001939	0.534523490279936	0.621762703210094	0.503262351380678	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	5	12.664	36.694	67.997	36.72693338	0.363839649018915	0.650715346175615	0.969499954530016	0.651056967852826	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	6	25.184	43.521	44.014	37.36758545	0.525720831086141	0.720425464984375	0.725394238816977	0.657689979288366	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	7	19.283	36.384	43.882	32.2057524	0.454623545465893	0.647496495428775	0.724064461395684	0.603467740550751	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	8	35.634	40.773	34.918	37.07871734	0.639684322787939	0.692596261804595	0.63219200990032	0.654702093026771	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	9	34.415	35.997	56.02	43.00181259	0.626907342251497	0.643469858508428	0.845744565247117	0.715185762183573	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	1	AK	AK10	F	10	5.02	17.908	41.598	20.96019606	0.225971803569216	0.436950500785169	0.700977634460054	0.475545026036775	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	1	29.733	51.711	77.788	47.16452672	0.57672280156592	0.802511504483967	1.08003659877842	0.757028210596773	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	2	25.51	23.472	43.215	31.95042768	0.529467994949486	0.505767622935384	0.717338181490428	0.600732758669101	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	3	24.88	30.955	37.709	30.35297077	0.52221202288252	0.590013424220294	0.661215383544149	0.583484553473196	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	4	42.35	43.878	51.739	46.24385689	0.708596510085806	0.724024158351083	0.802791671271546	0.747801312966196	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	5	40.624	39.662	40.281	40.20577632	0.691079789733754	0.681267044902257	0.687585485948317	0.686818505353426	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	6	21.319	23.452	46.563	30.76938148	0.479938953105499	0.505531640902124	0.751001038230963	0.588004236246457	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	7	15.253	24.988	37.8	25.50760298	0.401229935367237	0.52346020044502	0.66215396751091	0.529440500555344	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	8	12.124	27.42	41.741	27.91066776	0.355645290791489	0.551119260624206	0.702427905627223	0.556603547119828	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	9	21.152	28.093	53.833	33.74653423	0.477897258791922	0.558633939759151	0.823765805702937	0.619855651765967	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
Gibert	NS	2	AK	AK11	F	10	31.687	40.193	54.906	41.72497958	0.597904895772633	0.686688214703282	0.834537227555123	0.702265465699581	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.076
