"","Supervisor.PI","Sex","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"464","Schmidt","F","RE","RE17",997.289421475,65.8172714951563,995.7606267,875.5181871,1088.433008,23.2699194967105,0.0659961592671985,979.6008853
"465","Schmidt","F","RE","RE18",1029.17035553,44.1229616751576,1028.6470405,962.893732,1088.433008,13.9529056005816,0.0428723597002901,1021.534081
"466","Schmidt","F","RE","RE2",1066.4054311,43.8485415752704,1083.446409,968.585423,1123.620446,13.8661263454442,0.0411180778871695,1084.487094
"467","Schmidt","F","RE","RE3",1031.72288288333,20.9707956091362,1039.9067195,993.3403203,1048.169769,8.56129145709693,0.020325996405672,993.3403203
"468","Schmidt","F","RE","RE4",1065.33205435,37.1838083478288,1060.75351,985.6251425,1126.949866,11.7585526458321,0.0349034915414387,1062.200463
"469","Schmidt","F","RE","RE5",1020.1525965,26.2501475283669,1025.21473,985.9597915,1054.140095,11.7394228585653,0.0257315891940358,985.9597915
"470","Schmidt","F","RE","RE6",1035.85016979,28.4546248942704,1043.1730525,988.3931849,1068.256209,8.99814246316224,0.0274698269345644,1041.386215
"471","Schmidt","F","RE","RE7",1055.3083269,32.0494422972945,1056.291952,1010.253798,1095.056668,10.134923539759,0.0303697426433095,1066.23467
"472","Schmidt","F","UM","UM13",1028.769,30.188907620736,1025.07,994.17,1089.53,9.54657081539404,0.0293446902275788,1002.6
"473","Schmidt","F","UM","UM17",1013.222,37.4093567618228,1007.03,952.13,1091.4,11.8298773169181,0.0369211848556612,1021.6
"474","Schmidt","F","UM","UM18",1034.957,23.8007871251725,1031.825,1001.25,1081.05,7.52646974203562,0.0229968850156794,1030.49
"475","Schmidt","F","UM","UM2",978.85657141,32.1433614835686,985.59604975,921.1864211,1027.853562,10.1646233942206,0.0328376622504229,936.1562263
"476","Schmidt","F","UM","UM20",1046.44166666667,22.067918267627,1049.675,1012.18,1077.57,9.00918990685498,0.0210885317075744,1077.57
"477","Schmidt","F","UM","UM21",946.7728451,66.7565549124478,955.79874115,803.8712096,1029.180222,21.1102762269437,0.0705095792068232,1024.00545
"478","Schmidt","F","UM","UM22",1014.02179627,58.9131416483242,1021.0979535,866.1918273,1066.832968,18.6299711724831,0.0580984963686497,1010.151076
"479","Schmidt","F","UM","UM23",1018.64314685,29.9579646466126,1016.6854025,984.9036111,1081.900503,9.4735402346097,0.0294096757429263,1023.165673
"480","Schmidt","F","UM","UM25",1026.46362613,26.1840166286039,1031.3083865,980.6169748,1065.52121,8.28011308381114,0.0255089571243002,1036.245494
"481","Schmidt","F","UM","UM28",1006.31440107,33.4855765522125,1007.7640165,957.8491773,1059.002398,10.589069066892,0.0332754619397355,999.1872025
"482","Schmidt","F","UM","UM29",1012.47171811,14.6435541822516,1017.7948275,985.2683728,1028.847588,4.63069842559993,0.014463173558652,993.3403203
"483","Schmidt","F","UM","UM4",1004.85939335,26.398480874285,1017.0309205,958.4036327,1034.671952,8.34793263311336,0.0262708206232493,1025.590827
"484","Schmidt","F","UM","UM5",984.121841,27.1355531974799,988.77459495,931.3909358,1018.016619,8.58101536727012,0.0275733675109847,966.1822934
"485","Schmidt","F","UM","UM7",1042.971,22.4565558109183,1044.425,985.99,1069.32,7.10138647651913,0.0215313329046717,1057.07
"486","Schmidt","F","UM","UM9",1011.92887062,19.3844273467898,1015.76265,977.3135947,1033.263908,6.12989415539103,0.0191559188689943,1023.787628
"487","Schmidt","F","VA","VA11",1027.03502458,25.1858279181733,1026.964174,979.4285354,1060.590954,7.96445809784846,0.0245228520112768,1050.924871
"488","Schmidt","F","VA","VA15",1031.8502018,19.2880852988938,1034.265123,1005.158789,1060.585112,6.09942812481141,0.0186927184442538,1014.825829
"489","Schmidt","F","VA","VA18",999.11365959,30.0773796188355,988.84354995,960.465074,1058.807867,9.51130256450471,0.0301040620655493,980.3958319
"490","Schmidt","F","VA","VA22",977.93309632,25.0185825545695,984.67174595,943.0792119,1014.572452,7.91157047013934,0.0255831228626124,992.4433848
"491","Schmidt","F","VA","VA26",946.32613939,61.4492705494699,950.00692335,826.4975741,1034.330602,19.4319655492231,0.0649345590190291,979.7653009
"492","Schmidt","F","VA","VA30",1026.61296277,35.8260989436229,1022.679641,957.0581592,1069.623982,11.3292072340401,0.0348973763656336,1060.385029
"493","Schmidt","F","VA","VA34",987.30597218,33.4061087845303,983.0765383,938.311116,1051.668851,10.5639391522475,0.0338356190743672,1002.962217
"494","Schmidt","F","VA","VA35",1013.16558132,25.2443952447417,1021.9743025,963.840664,1050.938135,7.98297871269075,0.0249163569214936,992.6275177
"495","Schmidt","F","VA","VA44",1061.493278125,16.2090754497843,1061.5736335,1040.783705,1087.771129,5.73077358365342,0.0152700688584818,1087.771129
"496","Schmidt","F","VA","VA46",1031.16679506,37.5441378165608,1019.899877,986.4953076,1114.470579,11.8724988287593,0.036409374309203,1024.413741
"497","Schmidt","F","VA","VA47",1008.10373994,21.5276162679316,1014.444775,974.9081499,1039.439073,6.80763000007573,0.0213545644312487,1015.085245
