Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	CCRT_seconds	Censor	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Vieira	S	11	RE	RE18	F	1	Vieira_11_RE18_F_1	1	1122	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	20	MA	MA26	F	1	Vieira_20_MA26_F_1	4	1123	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	+	+	+	0.094
Vieira	S	27	YE	YE14	M	1	Vieira_27_YE14_M_1	6	1123	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	22	YE	YE20	F	1	Vieira_22_YE20_F_1	1	1123	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	5	AK	AK18	F	1	Vieira_5_AK18_F_1	1	1124	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	22	YE	YE21	M	1	Vieira_22_YE21_M_1	3	1124	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	22	YE	YE20	M	1	Vieira_22_YE20_M_1	5	1125	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	26	YE	YE80	M	1	Vieira_26_YE80_M_1	1	1125	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
Vieira	S	18	KA	KA29	F	1	Vieira_18_KA29_F_1	1	1126	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	12	KA	KA7	F	1	Vieira_12_KA7_F_1	3	1127	0	Denmark	55.945	10.213	15	KA	KA	KA	#D04E00	+	+	+	0.094
Vieira	S	5	GI	GI1	F	1	Vieira_5_GI1_F_1	5	1128	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	20	MA	MA13	M	1	Vieira_20_MA13_M_1	6	1128	0	Austria	48.375	15.56	572	MA	MA	MA	#E38800	-	-	-	0.094
Vieira	S	5	GI	GI5	F	1	Vieira_5_GI5_F_1	1	1129	0	Spain	41.618	0.62	173	GI	GI	GI	#B82E00	-	-	-	0.094
Vieira	S	5	AK	AK7	M	1	Vieira_5_AK7_M_1	6	1131	0	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.094
Vieira	S	11	RE	RE18	F	1	Vieira_11_RE18_F_1	2	1131	0	Portugal	41.15	-8.41	175	RE	RE	RE	#7BA354	-	-	-	0.094
Vieira	S	13	UM	UM4	F	1	Vieira_13_UM4_F_1	3	1131	0	Ukraine	48.753	30.206	214	UM	UM	UM	#0086A8	+	+	+	0.094
Vieira	S	27	YE	YE13	M	1	Vieira_27_YE13_M_1	2	1131	0	Turkey	40.231	32.26	680	YE	YE	YE	#132B69	+	+	+	0.094
