Supervisor.PI	Diet	Batch	Population	Line	Sex	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Prop_Max_Stage7	Prop_Max_Stage8	Prop_Max_Stage9	Prop_Max_Stage7_asin	Prop_Max_Stage8_asin	Prop_Max_Stage9_asin	Color	StatusT	StatusM	Wolbachia	PC.ratio
Bergland	S	2	VA	VA34	F	Russia	57.979	33.244	217	VA	VA	VA	0.153846153846154	0.461538461538462	0.846153846153846	0.403057074466113	0.746898593069036	1.16773925232878	#095888	+	+	+	0.099
Bergland	S	2	VA	VA35	F	Russia	57.979	33.244	217	VA	VA	VA	0.1	0.6	1	0.321750554396642	0.886077123792614	1.5707963267949	#095888	+	+	+	0.099
Bergland	S	2	VA	VA44	F	Russia	57.979	33.244	217	VA	VA	VA	0.2	0.55	0.6	0.463647609000806	0.835481873978228	0.886077123792614	#095888	+	+	+	0.099
Bergland	S	2	VA	VA55	F	Russia	57.979	33.244	217	VA	VA	VA	0.166666666666667	0.555555555555556	0.833333333333333	0.420534335283965	0.84106867056793	1.15026199151093	#095888	+	+	+	0.099
Bergland	S	2	VA	VA57	F	Russia	57.979	33.244	217	VA	VA	VA	0.214285714285714	0.714285714285714	0.75	0.481275373942343	1.00685368543427	1.0471975511966	#095888	+	+	+	0.099
Bergland	S	2	VA	VA71	F	Russia	57.979	33.244	217	VA	VA	VA	0	0.166666666666667	0.416666666666667	0	0.420534335283965	0.701674123787604	#095888	+	+	+	0.099
Bergland	S	2	YE	YE11	F	Turkey	40.231	32.26	680	YE	YE	YE	0.428571428571429	0.619047619047619	0.666666666666667	0.713724378944766	0.905600271782078	0.955316618124509	#132B69	-	-	-	0.099
Bergland	S	2	YE	YE14	F	Turkey	40.231	32.26	680	YE	YE	YE	0.181818181818182	0.454545454545455	0.727272727272727	0.440510663004698	0.739880774378741	1.02132908203727	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE19	F	Turkey	40.231	32.26	680	YE	YE	YE	0.545454545454545	0.772727272727273	0.863636363636364	0.830915552416156	1.07386383601568	1.19256813446071	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE20	F	Turkey	40.231	32.26	680	YE	YE	YE	0.478260869565217	0.782608695652174	0.91304347826087	0.76365217800239	1.08574653986541	1.27146230037713	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE22	F	Turkey	40.231	32.26	680	YE	YE	YE	0.153846153846154	0.384615384615385	0.538461538461538	0.403057074466113	0.668964074268407	0.82389773372586	#132B69	-	-	-	0.099
Bergland	S	2	YE	YE24	F	Turkey	40.231	32.26	680	YE	YE	YE	0.125	0.708333333333333	0.708333333333333	0.361367123906708	1.00028587904971	1.00028587904971	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE27	F	Turkey	40.231	32.26	680	YE	YE	YE	0.235294117647059	0.764705882352941	0.823529411764706	0.5064446434135	1.0643516833814	1.13725841743906	#132B69	-	-	-	0.099
Bergland	S	2	YE	YE33	F	Turkey	40.231	32.26	680	YE	YE	YE	0.409090909090909	0.772727272727273	0.954545454545455	0.693980594900994	1.07386383601568	1.35594649371918	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE48	F	Turkey	40.231	32.26	680	YE	YE	YE	0.333333333333333	0.333333333333333	0.416666666666667	0.615479708670387	0.615479708670387	0.701674123787604	#132B69	+	+	+	0.099
Bergland	S	2	YE	YE51	F	Turkey	40.231	32.26	680	YE	YE	YE	0.25	0.375	0.5	0.523598775598299	0.659058035826409	0.785398163397448	#132B69	+	+	+	0.099
Bergland	S	3	AK	AK1	F	Finland	61.1	23.52	88	AK	AK	AK	0.0833333333333333	0.25	0.25	0.292842771728575	0.523598775598299	0.523598775598299	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK11	F	Finland	61.1	23.52	88	AK	AK	AK	0.117647058823529	0.294117647058824	0.294117647058824	0.350105777767146	0.573203309100855	0.573203309100855	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK14	F	Finland	61.1	23.52	88	AK	AK	AK	0.208333333333333	0.291666666666667	0.291666666666667	0.473984870691447	0.570510447745185	0.570510447745185	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK15	F	Finland	61.1	23.52	88	AK	AK	AK	0	0.333333333333333	0.6	0	0.615479708670387	0.886077123792614	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK16	F	Finland	61.1	23.52	88	AK	AK	AK	0.0416666666666667	0.416666666666667	0.458333333333333	0.205568931161174	0.701674123787604	0.743683120092141	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK17	F	Finland	61.1	23.52	88	AK	AK	AK	0	0.235294117647059	0.294117647058824	0	0.5064446434135	0.573203309100855	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK2	F	Finland	61.1	23.52	88	AK	AK	AK	0	0.208333333333333	0.375	0	0.473984870691447	0.659058035826409	#A00E00	+	+	+	0.099
Bergland	S	3	AK	AK9	F	Finland	61.1	23.52	88	AK	AK	AK	0.375	0.625	0.625	0.659058035826409	0.911738290968488	0.911738290968488	#A00E00	+	+	+	0.099
Bergland	S	3	GI	GI10	F	Spain	41.618	0.62	173	GI	GI	GI	0.111111111111111	0.388888888888889	0.5	0.339836909454122	0.673351617246763	0.785398163397448	#B82E00	+	+	+	0.099
Bergland	S	3	GI	GI11	F	Spain	41.618	0.62	173	GI	GI	GI	0	0.352941176470588	0.529411764705882	0	0.63613206280501	0.814826916370989	#B82E00	+	+	+	0.099
Bergland	S	3	GI	GI13	F	Spain	41.618	0.62	173	GI	GI	GI	0.15	0.65	0.8	0.397699415092072	0.937744490405147	1.10714871779409	#B82E00	+	+	+	0.099
Bergland	S	3	GI	GI15	F	Spain	41.618	0.62	173	GI	GI	GI	0.105263157894737	0.421052631578947	0.421052631578947	0.330422647911483	0.706119023078598	0.706119023078598	#B82E00	+	+	+	0.099
Bergland	S	3	GI	GI4	F	Spain	41.618	0.62	173	GI	GI	GI	0.0434782608695652	0.434782608695652	0.608695652173913	0.210055739071239	0.719994415358595	0.894968692896215	#B82E00	+	+	+	0.099
Bergland	S	3	GI	GI5	F	Spain	41.618	0.62	173	GI	GI	GI	0	0.304347826086957	0.347826086956522	0	0.584373896848447	0.630771312833688	#B82E00	-	-	-	0.099
Bergland	S	3	GI	GI9	F	Spain	41.618	0.62	173	GI	GI	GI	0.125	0.666666666666667	0.833333333333333	0.361367123906708	0.955316618124509	1.15026199151093	#B82E00	-	-	-	0.099
Bergland	S	3	KA	KA1	F	Denmark	55.945	10.213	15	KA	KA	KA	0.0476190476190476	0.80952380952381	0.80952380952381	0.219987977395459	1.11916288571536	1.11916288571536	#D04E00	+	+	+	0.099
