Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	WA_L	Ritchie	F	MU	MU4	-8.501	55.123
lmer_pop	WA_L	Ritchie	F	MU	MU5	28.499	55.749
lmer_pop	WA_L	Ritchie	F	RE	RE1	-93.836	55.424
lmer_pop	WA_L	Ritchie	F	RE	RE2	170.945	56.198
lmer_pop	WA_L	Ritchie	F	RE	RE3	-91.703	55.465
lmer_pop	WA_L	Ritchie	F	RE	RE4	-78.825	55.129
lmer_pop	WA_L	Ritchie	F	RE	RE5	93.419	55.742
lmer_pop	WA_L	Ritchie	F	UM	UM2	-15.071	56.014
lmer_pop	WA_L	Ritchie	F	UM	UM4	-52.969	55.806
lmer_pop	WA_L	Ritchie	F	UM	UM5	137.882	55.812
lmer_pop	WA_L	Ritchie	F	UM	UM7	29.682	55.735
lmer_pop	WA_L	Ritchie	F	UM	UM8	-99.525	55.742
lmer_pop	WA_L	Ritchie	F	VA	VA1	16.06	56.262
lmer_pop	WA_L	Ritchie	F	VA	VA11	-37.373	56.225
lmer_pop	WA_L	Ritchie	F	VA	VA15	110.732	55.657
lmer_pop	WA_L	Ritchie	F	VA	VA6	-53.93	55.797
lmer_pop	WA_L	Ritchie	F	VA	VA9	-35.489	55.538
lmer_pop	WA_L	Ritchie	F	YE	YE11	46.64	55.862
lmer_pop	WA_L	Ritchie	F	YE	YE13	-103.734	55.609
lmer_pop	WA_L	Ritchie	F	YE	YE14	-26.689	55.893
lmer_pop	WA_L	Ritchie	F	YE	YE15	-17.034	56.501
lmer_pop	WA_L	Ritchie	F	YE	YE19	100.817	54.879
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK1	20.098	15.276
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK16	-27.023	14.058
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK17	32.511	14.836
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK18	-5.197	15.051
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK19	-26.458	14.431
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK2	9.792	14.836
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK20	-26.164	15.051
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK21	-12.731	14.836
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK24	136.158	15.276
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK3	23.003	15.276
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK4	-54.588	14.431
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK5	-26.853	15.051
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK6	5.013	14.836
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK7	-20.857	15.759
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK8	-4.78	14.431
lmer_pop	WA_L	StamenkovicRadak	F	AK	AK9	-21.923	14.431
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI1	38.903	15.276
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI10	-4.071	15.276
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI11	41.753	17.198
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI14	20.757	14.431
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI3	-78.585	15.759
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI4	-47.06	14.836
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI5	61.535	15.051
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI6	38.473	15.276
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI8	-50.557	14.836
lmer_pop	WA_L	StamenkovicRadak	F	GI	GI9	-21.149	15.051
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA1	-6.442	16.018
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA10	-75.985	14.241
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA13	-1.537	15.051
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA14	18.155	14.629
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA15	61.333	15.276
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA17	0.417	15.276
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA18	-16.022	15.759
lmer_pop	WA_L	StamenkovicRadak	F	KA	KA2	40.015	16.29
