Model	Trait	Sex	Population	Line	Value_re_Onder	Value_re_Posnien	Value_re_Ritchie	Value_re_StamenkovicRadak	SE_re_Onder	SE_re_Posnien	SE_re_Ritchie	SE_re_StamenkovicRadak
lmer_pop	WA_L	M	MA	MA16	-28.985	NA	NA	-55.598	18.762	NA	NA	12.732
lmer_pop	WA_L	M	MA	MA18	39.769	NA	NA	18.679	18.853	NA	NA	13.604
lmer_pop	WA_L	M	MA	MA19	-36.019	NA	NA	-65.818	18.784	NA	NA	14.477
lmer_pop	WA_L	M	MA	MA20	-74.506	NA	NA	-62.588	18.853	NA	NA	13.411
lmer_pop	WA_L	M	MA	MA21	18.399	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA23	2.606	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA26	9.677	NA	NA	-47.618	18.853	NA	NA	13.411
lmer_pop	WA_L	M	MA	MA27	14.306	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA28	34.67	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA3	-29.133	-127.174	-61.097	31.744	18.853	23.469	41.552	13.603
lmer_pop	WA_L	M	MA	MA30	35.605	133.288	NA	60.831	18.853	23.469	NA	13.406
lmer_pop	WA_L	M	MA	MA31	-10.847	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA32	34.598	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA33	-10.244	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MA	MA5	-26.12	NA	-17.317	-18.232	18.853	NA	41.396	14.018
lmer_pop	WA_L	M	MA	MA6	5.307	NA	21.812	-15.306	18.853	NA	41.613	13.603
lmer_pop	WA_L	M	MA	MA7	3.958	NA	76.672	48.136	18.853	NA	41.124	13.046
lmer_pop	WA_L	M	MA	MA9	34.223	NA	-20.069	105.771	18.853	NA	41.532	15.862
lmer_pop	WA_L	M	MU	MU1	10.93	NA	20.833	27.423	18.853	NA	41.442	13.224
lmer_pop	WA_L	M	MU	MU10	-0.02	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MU	MU11	-75.17	-174.804	NA	-69.813	18.853	23.469	NA	12.878
lmer_pop	WA_L	M	MU	MU12	28.234	NA	NA	1.974	18.853	NA	NA	13.225
lmer_pop	WA_L	M	MU	MU13	-68.18	NA	NA	68.285	18.853	NA	NA	13.807
lmer_pop	WA_L	M	MU	MU14	30.336	NA	NA	33.346	18.853	NA	NA	13.048
lmer_pop	WA_L	M	MU	MU15	20.652	85.745	NA	NA	18.853	23.469	NA	NA
lmer_pop	WA_L	M	MU	MU16	20.505	NA	NA	-68.862	18.853	NA	NA	14.981
lmer_pop	WA_L	M	MU	MU17	42.123	NA	NA	5.159	18.853	NA	NA	14.015
lmer_pop	WA_L	M	MU	MU18	-34.876	NA	NA	-42.568	18.853	NA	NA	12.71
lmer_pop	WA_L	M	MU	MU19	21.329	NA	NA	22.005	18.853	NA	NA	12.71
lmer_pop	WA_L	M	MU	MU2	-10.475	NA	-29.091	-21.178	18.762	NA	41.513	13.046
lmer_pop	WA_L	M	MU	MU20	31.864	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MU	MU3	27.243	NA	16.738	NA	7.674	NA	41.559	NA
lmer_pop	WA_L	M	MU	MU4	21.219	89.059	-6.544	38.283	18.853	23.469	41.196	13.221
lmer_pop	WA_L	M	MU	MU5	-9.665	NA	-1.937	11.117	18.853	NA	41.396	13.046
lmer_pop	WA_L	M	MU	MU6	3.075	NA	NA	NA	18.853	NA	NA	NA
lmer_pop	WA_L	M	MU	MU7	-52.466	NA	NA	-42.764	18.853	NA	NA	13.225
lmer_pop	WA_L	M	MU	MU8	13.617	NA	NA	39.905	18.853	NA	NA	13.225
lmer_pop	WA_L	M	MU	MU9	-20.275	NA	NA	-2.311	18.853	NA	NA	13.225
lmer_pop	WA_L	M	RE	RE1	-17.574	NA	-64.636	-28.462	18.986	NA	41.292	15.549
lmer_pop	WA_L	M	RE	RE10	-7.689	NA	NA	NA	18.584	NA	NA	NA
