Model	Trait	Sex	Population	Line	Coef_Vieira	Coef_Mensch	SE_Vieira	SE_Mensch
lmer_pop	CCRT	F	YE	YE24	1597.95972046838	1485.21798022351	139.990725555489	192.16761066036
lmer_pop	CCRT	F	YE	YE26	1443.27972046838	1750.59098022351	140.509421041979	191.257573306031
lmer_pop	CCRT	F	YE	YE27	1367.37872046838	1616.64598022351	140.509421041979	192.591847062413
lmer_pop	CCRT	F	YE	YE33	1592.98372046838	1971.59898022351	140.509421041979	199.379941393089
lmer_pop	CCRT	F	YE	YE40	1424.75972046838	2133.06598022351	139.990725555489	191.257573306031
lmer_pop	CCRT	F	YE	YE41	1491.78172046838	NA	140.273348133394	NA
lmer_pop	CCRT	F	YE	YE48	1624.77072046838	2086.43198022351	140.273348133394	200.562285113407
lmer_pop	CCRT	F	YE	YE49	1375.34572046838	2290.56998022351	140.273348133394	192.591847062413
lmer_pop	CCRT	F	YE	YE51	1689.85172046838	2243.07598022351	140.273348133394	193.127834736249
lmer_pop	CCRT	F	YE	YE69	1416.12172046838	1987.79898022351	140.273348133394	163.281977287488
lmer_pop	CCRT	F	YE	YE80	1361.53772046838	1703.76598022351	140.273348133394	191.257573306031
lmer_pop	CCRT	F	AK	AK21	NA	2045.92597663517	NA	199.444630736669
lmer_pop	CCRT	F	GI	GI14	NA	1275.46486890285	NA	197.598282851639
lmer_pop	CCRT	F	GI	GI6	NA	1431.42186890285	NA	206.080710106298
lmer_pop	CCRT	F	RE	RE1	NA	1557.2695867736	NA	196.281056421428
lmer_pop	CCRT	M	AK	AK1	1575.32433333342	1907.98486197409	107.692990003095	177.22061349698
lmer_pop	CCRT	M	AK	AK10	1554.24333333342	1638.72486197409	107.692990003095	176.845742725817
lmer_pop	CCRT	M	AK	AK11	1540.42133333342	1895.25686197409	107.692990003095	175.476887889106
lmer_pop	CCRT	M	AK	AK12	1556.96533333342	1950.73486197409	107.692990003095	175.476887889106
lmer_pop	CCRT	M	AK	AK13	1573.69933333342	1511.23386197409	107.692990003095	176.571386932442
lmer_pop	CCRT	M	AK	AK14	1589.21033333342	1723.68586197409	107.692990003095	176.659274877505
lmer_pop	CCRT	M	AK	AK15	1582.96333333342	1816.54986197409	107.692990003095	183.192650901301
lmer_pop	CCRT	M	AK	AK16	1560.44733333342	2105.49286197409	107.692990003095	175.853634049018
lmer_pop	CCRT	M	AK	AK17	1575.62033333342	1616.37186197409	107.692990003095	174.952471189309
lmer_pop	CCRT	M	AK	AK18	1547.40633333342	1710.87686197409	107.692990003095	175.476887889106
lmer_pop	CCRT	M	AK	AK19	1539.59833333342	NA	107.692990003095	NA
lmer_pop	CCRT	M	AK	AK2	1538.52233333342	1739.96886197409	107.692990003095	183.732317266849
lmer_pop	CCRT	M	AK	AK20	1568.36133333342	1731.17386197409	107.692990003095	183.762808316172
lmer_pop	CCRT	M	AK	AK3	1586.74133333342	1650.77486197409	107.692990003095	179.350322205582
lmer_pop	CCRT	M	AK	AK4	1548.82033333342	1475.95286197409	107.692990003095	177.242828129225
lmer_pop	CCRT	M	AK	AK5	1572.68733333342	2081.14386197409	107.692990003095	185.505511193727
