Model	Trait	Sex	Population	Line	Value_re_Vieira	Value_re_Mensch	SE_re_Vieira	SE_re_Mensch
lmer_pop	CCRT	M	KA	KA17	1.796	-43.293	89.368	154.916
lmer_pop	CCRT	M	KA	KA18	-31.905	-366.772	89.368	155.508
lmer_pop	CCRT	M	KA	KA2	-47.394	53.276	89.368	155.933
lmer_pop	CCRT	M	KA	KA23	26.718	-48.76	89.368	157.473
lmer_pop	CCRT	M	KA	KA24	17.032	-54.69	89.368	155.763
lmer_pop	CCRT	M	KA	KA25	-11.647	340.283	89.368	156.841
lmer_pop	CCRT	M	KA	KA28	-16.775	-138.014	89.368	157.515
lmer_pop	CCRT	M	KA	KA29	-30.491	60.975	89.368	164.165
lmer_pop	CCRT	M	KA	KA3	66.503	237.655	89.805	157.498
lmer_pop	CCRT	M	KA	KA5	9.371	-227.375	89.368	163.499
lmer_pop	CCRT	M	KA	KA6	-24.513	-261.875	89.805	159.866
lmer_pop	CCRT	M	KA	KA7	-20.425	-108.541	89.368	156.742
lmer_pop	CCRT	M	KA	KA9	28.786	-43.191	89.368	154.916
lmer_pop	CCRT	M	MA	MA12	9.48	7.495	89.368	154.916
lmer_pop	CCRT	M	MA	MA13	-11.137	148.633	89.368	157.515
lmer_pop	CCRT	M	MA	MA16	-12.129	-53.343	89.368	156.742
lmer_pop	CCRT	M	MA	MA18	-55.747	104.721	89.368	165.733
lmer_pop	CCRT	M	MA	MA19	-14.619	-138.264	89.368	164.247
lmer_pop	CCRT	M	MA	MA20	-16.433	206.382	89.368	164.801
lmer_pop	CCRT	M	MA	MA21	-32.345	-214.753	89.368	156.742
lmer_pop	CCRT	M	MA	MA23	-17.404	-218.345	89.368	155.933
lmer_pop	CCRT	M	MA	MA26	-21.076	-42.436	89.368	154.363
lmer_pop	CCRT	M	MA	MA27	48.351	5.546	89.368	154.916
lmer_pop	CCRT	M	MA	MA28	41.176	-17.515	89.368	165.733
lmer_pop	CCRT	M	MA	MA3	-18.419	15.872	89.805	157.498
lmer_pop	CCRT	M	MA	MA30	24.041	-9.162	89.368	155.508
lmer_pop	CCRT	M	MA	MA31	88.783	598.623	89.368	162.664
lmer_pop	CCRT	M	MA	MA32	-5.249	65.493	89.368	155.508
lmer_pop	CCRT	M	MA	MA33	-6.283	20.47	89.368	164.767
lmer_pop	CCRT	M	MA	MA5	-40.554	-141.026	89.368	157.473
lmer_pop	CCRT	M	MA	MA6	-6.79	126.508	89.368	155.508
lmer_pop	CCRT	M	MA	MA7	44.574	-121.272	89.368	157.515
lmer_pop	CCRT	M	MA	MA9	1.778	-343.629	89.368	157.051
lmer_pop	CCRT	M	MU	MU1	-74.48	-267.154	89.368	155.933
lmer_pop	CCRT	M	MU	MU10	-28.92	30.723	89.368	156.841
lmer_pop	CCRT	M	MU	MU11	-29.342	139.715	89.368	157.515
