Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,CentroidSizeLeft_micrometers,CentroidSizeRight_micrometers,Country,Latitude,Longitude,Altitude
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,1,2497.600947,2508.69446,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,2,2411.40917,2414.558127,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,3,2460.098943,2444.86472,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,4,2480.151508,2470.559133,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,5,2565.908832,2581.764969,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,6,2526.12326,2536.541241,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,7,2447.473762,2437.028103,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,8,2615.175984,2580.067611,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,9,2548.186118,2546.186622,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,1,Onder_4_VA67_1,10,2408.80885,2419.091711,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,11,2575.164185,2560.211134,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,12,2503.421212,2500.785407,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,13,2520.699195,2538.086153,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,14,2371.774226,2383.772908,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,15,2326.912786,2331.666505,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,16,2585.10419,2579.103744,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,17,2422.501658,2410.04507,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,18,2477.586138,2464.119081,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,19,2531.683071,2528.408597,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,2,Onder_4_VA67_2,20,2466.268341,2459.100983,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,21,2539.712529,2547.857111,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,22,2662.02905,2602.501597,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,23,2546.090677,2541.6864,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,24,2496.837362,2490.684221,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,25,2430.678861,2400.51155,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,26,2441.427983,2447.939898,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,27,2535.380352,2534.673083,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,28,2334.86854,2367.351652,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,29,2428.841788,2443.877666,Russia,57.979,33.244,217
Onder,NS,4,VA,VA67,M,3,Onder_4_VA67_3,30,2447.311456,2432.644751,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,1,2836.407312,2821.002957,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,2,2763.152585,2734.068376,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,3,2755.917646,2768.286392,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,4,2715.800098,2709.997564,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,5,2733.838292,2733.787061,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,6,2885.079386,2891.506891,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,7,2727.69747,2740.945038,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,8,2943.798407,2923.679823,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,9,2672.198831,2658.810813,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,1,Onder_4_VA71_1,10,2864.150941,2841.9148,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,11,2872.882872,2856.860871,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,12,2888.148336,2885.663396,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,13,2810.146279,2793.986348,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,14,2901.573099,2897.565007,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,15,2718.330166,2711.251721,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,16,2733.627916,2734.460343,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,17,2883.41137,2873.403112,Russia,57.979,33.244,217
Onder,NS,4,VA,VA71,F,2,Onder_4_VA71_2,18,2885.348042,2888.402077,Russia,57.979,33.244,217
