Supervisor.PI,Diet,Batch,Population,Line,ReplicateVialOld,ReplicateVial,Individual,DT_EggPupa,Country,Latitude,Longitude,Altitude
Schmidt,NS,1,VA,VA57,1,Schmidt_1_VA57_1,19,168,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,1,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,2,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,3,140,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,4,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,5,144,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,6,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,7,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,8,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,9,160,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,10,164,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,11,164,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA66,1,Schmidt_1_VA66_1,12,184,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,1,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,2,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,3,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,4,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,5,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,6,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,7,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,8,112,Russia,57.979,33.244,217
Schmidt,NS,1,VA,VA67,1,Schmidt_1_VA67_1,9,120,Russia,57.979,33.244,217
