Supervisor.PI,Diet,Batch,Population,Line,Sex,Individual,AreaT4,AreaT5,AreaT6,PercT4,PercT5,PercT6,TotalArea,TotalBlack,TotalPerc,Orientation
Gibert,NS,2,KA,KA1,F,10,9640,8005,8345,18.828,14.266,23.511,25990,4919.00545,18.92653117,OK
Gibert,NS,2,KA,KA2,F,1,10269,8513,6282,42.39,47.88,77.428,25064,13293.08046,53.03654828,OK
Gibert,NS,2,KA,KA2,F,2,11617,11852,8542,20.935,29.742,71.962,32011,12104.03483,37.81211093,OK
Gibert,NS,2,KA,KA2,F,3,7646,6230,5846,23.659,41.027,87.393,19722,9473.94402,48.03744052,OK
Gibert,NS,2,KA,KA2,F,4,16015,12436,8478,21.617,40.479,75.383,36929,14886.90173,40.31222543,OK
Gibert,NS,2,KA,KA2,F,5,9937,9148,6687,32.968,37.866,70.884,25772,11480.02492,44.54456356,OK
Gibert,NS,2,KA,KA2,F,6,15468,12069,7666,21.509,31.759,84.033,35203,13601.97561,38.6386831,OK
Gibert,NS,2,KA,KA2,F,7,12224,12086,6884,14.881,26.791,90.18,31194,11265.0049,36.11272969,OK
Gibert,NS,2,KA,KA2,F,8,8083,8706,6990,28.9,36.274,67.239,23779,10194.00754,42.86979074,OK
Gibert,NS,2,KA,KA2,F,9,7915,6233,5018,35.085,44.617,75.907,19166,9366.96862,48.87284055,OK
Gibert,NS,2,KA,KA2,F,10,10768,8858,5740,17.06,37.074,84.024,25366,9944.01332,39.20213404,OK
Gibert,NS,1,KA,KA3,F,1,14228,12356,10000,12.672,15.838,53.04,36584,9063.91544,24.77562716,OK
Gibert,NS,1,KA,KA3,F,2,12634,9736,9189,16.804,32.816,45.076,31559,9460.01676,29.97565436,OK
Gibert,NS,1,KA,KA3,F,3,14753,12632,9055,14.295,12.579,14.832,36440,5040.95823,13.8335846,OK
Gibert,NS,1,KA,KA3,F,4,13283,11073,6543,19.792,27.96,51.337,30899,9083.96207,29.39888692,OK
Gibert,NS,1,KA,KA3,F,5,10038,7206,6610,21.608,38.052,67.973,23854,9404.05346,39.42338166,OK
Gibert,NS,1,KA,KA3,F,6,11103,8963,7917,13.843,27.268,48.642,27983,7832.00627,27.98844395,OK
Gibert,NS,1,KA,KA3,F,7,10785,8963,8208,18.108,30.414,45.115,27956,8381.99382,29.98280806,OK
Gibert,NS,1,KA,KA3,F,8,14203,13822,9712,10.589,16.213,24.3,37737,6104.93253,16.17757779,OK
Gibert,NS,1,KA,KA3,F,9,10575,9083,8575,16.142,27.194,53.096,28233,8730.02952,30.92136691,OK
Gibert,NS,1,KA,KA3,F,10,6982,5637,4384,19.249,26.574,48.791,17003,4980.939,29.29447156,OK
Gibert,NS,2,KA,KA5,F,1,10026,8609,6359,25.344,40.353,82.843,24994,11282.96558,45.14269657,OK
Gibert,NS,2,KA,KA5,F,2,10379,9889,8374,29.598,37.607,47.098,28642,10734.91917,37.47964238,OK
Gibert,NS,2,KA,KA5,F,3,11661,9472,6659,27.502,38.281,72.428,27792,11655.96506,41.94000094,OK
Gibert,NS,2,KA,KA5,F,4,11159,9055,9722,28.13,43.689,65.882,29936,13500.11369,45.09658501,OK
Gibert,NS,2,KA,KA5,F,5,12857,10019,7858,18.955,30.562,64.431,30734,10562.03911,34.36597615,OK
Gibert,NS,2,KA,KA5,F,6,8699,8128,6861,30.141,36.22,64.305,23688,9977.89324,42.12214303,OK
Gibert,NS,2,KA,KA5,F,7,10117,9188,7816,29.465,34.295,62.295,27121,11000.97585,40.56257457,OK
Gibert,NS,2,KA,KA5,F,8,8860,7868,7781,27.652,34.062,42.527,24509,8438.99123,34.4322136,OK
Gibert,NS,2,KA,KA5,F,9,9587,8111,7498,29.55,37.332,45.105,25196,9242.92992,36.68411621,OK
Gibert,NS,2,KA,KA5,F,10,10866,8486,5440,33.37,48.857,72.426,24792,11711.96362,47.24089876,OK
Gibert,NS,2,KA,KA6,F,1,10194,9001,5947,33.892,40.962,53.556,25142,10326.91542,41.07435932,OK
Gibert,NS,2,KA,KA6,F,2,7765,7614,6014,25.306,36.144,53.392,21393,7928.00994,37.05889749,OK
Gibert,NS,2,KA,KA6,F,3,8955,7583,6307,31.089,36.041,38.275,22845,7931.01323,34.71662609,OK
Gibert,NS,2,KA,KA6,F,4,7352,8878,8900,19.287,25.231,52.292,25130,8311.97642,33.07591094,OK
Gibert,NS,2,KA,KA6,F,5,8921,7599,5313,44.21,56.6,51.722,21833,10992.99796,50.35037769,OK
Gibert,NS,2,KA,KA6,F,6,7501,7855,6671,22.477,30.796,67.486,22027,8607.01663,39.07484737,OK
Gibert,NS,2,KA,KA6,F,7,9440,8337,6484,33.104,39.942,78.686,24261,11556.98238,47.63605119,OK
Gibert,NS,2,KA,KA6,F,8,6106,7050,6234,27.088,34.809,61.181,19390,7922.05132,40.85637607,OK
Gibert,NS,2,KA,KA6,F,9,8939,7291,5991,37.018,43.643,56.351,22221,9867.03856,44.40411575,OK
Gibert,NS,2,KA,KA6,F,10,8873,9452,7015,21.695,32.586,71.304,25340,10007.00167,39.49093003,OK
Gibert,NS,1,KA,KA7,F,1,12271,11365,7427,40.355,37.123,73.139,31063,14603.02453,47.01099227,OK
Gibert,NS,1,KA,KA7,F,2,12278,9860,9525,13.699,28.083,50.373,31663,9248.97527,29.21067261,OK
Gibert,NS,1,KA,KA7,F,3,8889,7894,4755,25.053,40.765,83.281,21538,9404.96182,43.66682988,OK
Gibert,NS,1,KA,KA7,F,4,9815,8419,6919,24.147,14.99,41.668,25153,6515.04507,25.90166211,OK
Gibert,NS,1,KA,KA7,F,5,16444,12476,9943,18.603,14.941,42.874,38863,9186.0783,23.63707974,OK
Gibert,NS,1,KA,KA7,F,6,12830,8544,6663,21.13,34.398,62.239,28037,9796.92869,34.94285655,OK
Gibert,NS,1,KA,KA7,F,7,9842,9180,7834,13.188,25.436,63.429,26856,8602.01562,32.03014455,OK
Gibert,NS,1,KA,KA7,F,8,13721,10433,7387,16.959,38.148,81.928,31541,12358.94659,39.18375001,OK
Gibert,NS,1,KA,KA7,F,9,14286,11390,10199,14.28,22.704,49.162,35875,9640.05878,26.87124399,OK
Gibert,NS,1,KA,KA7,F,10,9340,7775,6446,36.092,20.219,48.774,23561,8086.99209,34.3236369,OK
Gibert,NS,2,KA,KA9,F,1,9281,8223,5846,38.765,39.608,55.525,23350,10100.73699,43.25797426,OK
Gibert,NS,2,KA,KA9,F,2,8918,8413,7654,48.823,41.388,41.515,24985,11013.56568,44.08071115,OK
Gibert,NS,2,KA,KA9,F,3,6635,6961,7402,26.948,35.268,29.884,20998,6455.01896,30.74111325,OK
Gibert,NS,2,KA,KA9,F,4,6643,6911,5853,42.631,32.21,23.885,19407,6455.99948,33.26634451,OK
Gibert,NS,2,KA,KA9,F,5,7425,7217,5619,25.441,24.886,48.318,20261,6400.00529,31.58780559,OK
Gibert,NS,2,KA,KA9,F,6,7998,7324,6733,21.03,22.474,3.624,22055,3571.97908,16.1957791,OK
