Supervisor.PI,Diet,Batch,Population,Line,Sex,ReplicateVialOld,ReplicateVial,Individual,TL_micrometers,Country,Latitude,Longitude,Altitude
Ritchie,S,7,KA,KA3,F,1,Ritchie_7_KA3_1,1295,1007,Denmark,55.945,10.213,15
Ritchie,S,1,MA,MA3,F,3,Ritchie_1_MA3_3,1603,1007,Austria,48.375,15.56,572
Ritchie,S,10,MA,MA7,F,3,Ritchie_10_MA7_3,1841,1007,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE69,F,1,Schmidt_1_YE69_1,1,1007,Turkey,40.231,32.26,680
Kozeretska,NS,2,KA,KA14,F,1,Kozeretska_2_KA14_1,18,1007,Denmark,55.945,10.213,15
Schmidt,NS,1,AK,AK10,F,1,Schmidt_1_AK10_1,2,1006.94,Finland,61.1,23.52,88
Schmidt,NS,1,YE,YE19,F,1,Schmidt_1_YE19_1,4,1006.94,Turkey,40.231,32.26,680
Schmidt,NS,1,AK,AK2,F,1,Schmidt_1_AK2_1,7,1006.94,Finland,61.1,23.52,88
Schmidt,NS,1,VA,VA30,F,1,Schmidt_1_VA30_1,10,1006.932285,Russia,57.979,33.244,217
Schmidt,NS,1,MA,MA31,F,1,Schmidt_1_MA31_1,10,1006.92,Austria,48.375,15.56,572
Schmidt,NS,1,MU,MU17,F,1,Schmidt_1_MU17_1,3,1006.87,Germany,48.18,11.61,520
Schmidt,NS,1,MU,MU7,F,1,Schmidt_1_MU7_1,5,1006.87,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA32,F,1,Schmidt_1_MA32_1,8,1006.83,Austria,48.375,15.56,572
Schmidt,NS,1,MU,MU8,F,1,Schmidt_1_MU8_1,7,1006.82,Germany,48.18,11.61,520
Schmidt,NS,1,VA,VA55,F,1,Schmidt_1_VA55_1,10,1006.715385,Russia,57.979,33.244,217
Schmidt,NS,1,AK,AK7,F,1,Schmidt_1_AK7_1,8,1006.71,Finland,61.1,23.52,88
Posnien,S,1,MA,MA13,F,1,Posnien_1_MA13_1,3,1006.642,Austria,48.375,15.56,572
Schmidt,NS,1,RE,RE6,F,1,Schmidt_1_RE6_1,10,1006.629227,Portugal,41.15,-8.41,175
Schmidt,NS,1,YE,YE21,F,1,Schmidt_1_YE21_1,1,1006.52,Turkey,40.231,32.26,680
Schmidt,NS,1,KA,KA24,F,1,Schmidt_1_KA24_1,10,1006.456889,Denmark,55.945,10.213,15
Schmidt,NS,1,AK,AK13,F,1,Schmidt_1_AK13_1,6,1006.45,Finland,61.1,23.52,88
Schmidt,NS,1,MU,MU13,F,1,Schmidt_1_MU13_1,2,1006.27,Germany,48.18,11.61,520
Schmidt,NS,1,AK,AK16,F,1,Schmidt_1_AK16_1,9,1006.24,Finland,61.1,23.52,88
Posnien,S,1,YE,YE21,F,1,Posnien_1_YE21_1,10,1006.15,Turkey,40.231,32.26,680
Schmidt,NS,1,MU,MU5,F,1,Schmidt_1_MU5_1,2,1006.12,Germany,48.18,11.61,520
Schmidt,NS,1,MU,MU1,F,1,Schmidt_1_MU1_1,6,1006.05,Germany,48.18,11.61,520
Ritchie,S,6,AK,AK2,F,1,Ritchie_6_AK2_1,332,1006,Finland,61.1,23.52,88
Ritchie,S,6,AK,AK2,F,3,Ritchie_6_AK2_3,384,1006,Finland,61.1,23.52,88
Ritchie,S,9,AK,AK3,F,2,Ritchie_9_AK3_2,430,1006,Finland,61.1,23.52,88
Ritchie,S,12,AK,AK4,F,2,Ritchie_12_AK4_2,921,1006,Finland,61.1,23.52,88
Ritchie,S,13,KA,KA6,F,1,Ritchie_13_KA6_1,1455,1006,Denmark,55.945,10.213,15
Ritchie,S,6,YE,YE13,F,3,Ritchie_6_YE13_3,632,1006,Turkey,40.231,32.26,680
Ritchie,S,9,YE,YE14,F,3,Ritchie_9_YE14_3,714,1006,Turkey,40.231,32.26,680
Schmidt,NS,1,RE,RE17,F,1,Schmidt_1_RE17_1,5,1005.919682,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE18,F,1,Schmidt_1_RE18_1,5,1005.919682,Portugal,41.15,-8.41,175
Schmidt,NS,1,AK,AK16,F,1,Schmidt_1_AK16_1,10,1005.85,Finland,61.1,23.52,88
Schmidt,NS,1,GI,GI2,F,1,Schmidt_1_GI2_1,2,1005.85,Spain,41.618,0.62,173
Schmidt,NS,1,MA,MA12,F,1,Schmidt_1_MA12_1,2,1005.77,Austria,48.375,15.56,572
Schmidt,NS,1,KA,KA7,F,1,Schmidt_1_KA7_1,8,1005.613238,Denmark,55.945,10.213,15
Schmidt,NS,1,YE,YE48,F,1,Schmidt_1_YE48_1,2,1005.48,Turkey,40.231,32.26,680
Schmidt,NS,1,GI,GI1,F,1,Schmidt_1_GI1_1,10,1005.42,Spain,41.618,0.62,173
Schmidt,NS,1,MA,MA6,F,1,Schmidt_1_MA6_1,10,1005.38,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE80,F,1,Schmidt_1_YE80_1,6,1005.35,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA13,F,1,Schmidt_1_MA13_1,3,1005.3,Austria,48.375,15.56,572
Schmidt,NS,1,AK,AK6,F,1,Schmidt_1_AK6_1,3,1005.26,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK4,F,1,Schmidt_1_AK4_1,3,1005.24,Finland,61.1,23.52,88
Schmidt,NS,1,VA,VA15,F,1,Schmidt_1_VA15_1,9,1005.158789,Russia,57.979,33.244,217
Schmidt,NS,1,AK,AK6,F,1,Schmidt_1_AK6_1,10,1005.07,Finland,61.1,23.52,88
Ritchie,S,6,AK,AK2,F,3,Ritchie_6_AK2_3,377,1005,Finland,61.1,23.52,88
Ritchie,S,9,GI,GI3,F,3,Ritchie_9_GI3_3,225,1005,Spain,41.618,0.62,173
Ritchie,S,1,KA,KA1,F,3,Ritchie_1_KA1_3,1197,1005,Denmark,55.945,10.213,15
Ritchie,S,3,MU,MU1,F,3,Ritchie_3_MU1_3,2002,1005,Germany,48.18,11.61,520
Ritchie,S,3,YE,YE11,F,1,Ritchie_3_YE11_1,496,1005,Turkey,40.231,32.26,680
Ritchie,S,15,YE,YE19,F,2,Ritchie_15_YE19_2,834,1005,Turkey,40.231,32.26,680
Ritchie,S,15,YE,YE19,F,2,Ritchie_15_YE19_2,839,1005,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA26,F,1,Schmidt_1_MA26_1,9,1005,Austria,48.375,15.56,572
Schmidt,NS,1,AK,AK16,F,1,Schmidt_1_AK16_1,5,1004.98,Finland,61.1,23.52,88
Schmidt,NS,1,MU,MU14,F,1,Schmidt_1_MU14_1,8,1004.98,Germany,48.18,11.61,520
Schmidt,NS,1,KA,KA3,F,1,Schmidt_1_KA3_1,6,1004.966165,Denmark,55.945,10.213,15
Schmidt,NS,1,KA,KA14,F,1,Schmidt_1_KA14_1,6,1004.878315,Denmark,55.945,10.213,15
Schmidt,NS,1,YE,YE21,F,1,Schmidt_1_YE21_1,8,1004.78,Turkey,40.231,32.26,680
Schmidt,NS,1,AK,AK15,F,1,Schmidt_1_AK15_1,8,1004.71,Finland,61.1,23.52,88
Schmidt,NS,1,MA,MA12,F,1,Schmidt_1_MA12_1,6,1004.67,Austria,48.375,15.56,572
Schmidt,NS,1,GI,GI11,F,1,Schmidt_1_GI11_1,9,1004.64,Spain,41.618,0.62,173
Schmidt,NS,1,MU,MU18,F,1,Schmidt_1_MU18_1,6,1004.6,Germany,48.18,11.61,520
Schmidt,NS,1,RE,RE16,F,1,Schmidt_1_RE16_1,10,1004.566928,Portugal,41.15,-8.41,175
Schmidt,NS,1,RE,RE11,F,1,Schmidt_1_RE11_1,3,1004.380358,Portugal,41.15,-8.41,175
Schmidt,NS,1,MA,MA31,F,1,Schmidt_1_MA31_1,4,1004.26,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE33,F,1,Schmidt_1_YE33_1,10,1004.07,Turkey,40.231,32.26,680
Schmidt,NS,1,GI,GI2,F,1,Schmidt_1_GI2_1,1,1004.05,Spain,41.618,0.62,173
Kozeretska,NS,1,MU,MU9,F,1,Kozeretska_1_MU9_1,12,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU6,F,1,Kozeretska_1_MU6_1,2,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU12,F,1,Kozeretska_1_MU12_1,19,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU16,F,1,Kozeretska_1_MU16_1,17,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU16,F,1,Kozeretska_1_MU16_1,20,1004,Germany,48.18,11.61,520
Kozeretska,NS,2,MU,MU3,F,1,Kozeretska_2_MU3_1,2,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,MU,MU14,F,1,Kozeretska_1_MU14_1,20,1004,Germany,48.18,11.61,520
Kozeretska,NS,2,MU,MU5,F,1,Kozeretska_2_MU5_1,11,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,AK,AK8,F,1,Kozeretska_1_AK8_1,20,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK8,F,1,Kozeretska_2_AK8_1,10,1004,Finland,61.1,23.52,88
Kozeretska,NS,1,AK,AK17,F,1,Kozeretska_1_AK17_1,13,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK17,F,1,Kozeretska_2_AK17_1,1,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK5,F,1,Kozeretska_2_AK5_1,9,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK9,F,1,Kozeretska_2_AK9_1,19,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK14,F,1,Kozeretska_2_AK14_1,10,1004,Finland,61.1,23.52,88
Kozeretska,NS,1,AK,AK15,F,1,Kozeretska_1_AK15_1,20,1004,Finland,61.1,23.52,88
Kozeretska,NS,1,AK,AK21,F,1,Kozeretska_1_AK21_1,10,1004,Finland,61.1,23.52,88
Kozeretska,NS,1,AK,AK21,F,1,Kozeretska_1_AK21_1,14,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,GI,GI14,F,1,Kozeretska_2_GI14_1,4,1004,Spain,41.618,0.62,173
Kozeretska,NS,1,GI,GI8,F,1,Kozeretska_1_GI8_1,2,1004,Spain,41.618,0.62,173
Kozeretska,NS,1,GI,GI6,F,1,Kozeretska_1_GI6_1,9,1004,Spain,41.618,0.62,173
Kozeretska,NS,2,MA,MA16,F,1,Kozeretska_2_MA16_1,4,1004,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA16,F,1,Kozeretska_2_MA16_1,13,1004,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA18,F,1,Kozeretska_1_MA18_1,5,1004,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA30,F,1,Kozeretska_1_MA30_1,10,1004,Austria,48.375,15.56,572
Kozeretska,NS,2,MA,MA32,F,1,Kozeretska_2_MA32_1,11,1004,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA27,F,1,Kozeretska_1_MA27_1,15,1004,Austria,48.375,15.56,572
Kozeretska,NS,1,MA,MA33,M,1,Kozeretska_1_MA33_1,16,1004,Austria,48.375,15.56,572
Kozeretska,NS,2,UM,UM21,F,1,Kozeretska_2_UM21_1,10,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,UM,UM21,F,1,Kozeretska_2_UM21_1,17,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,UM,UM21,F,1,Kozeretska_2_UM21_1,19,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,1,UM,UM2,F,1,Kozeretska_1_UM2_1,15,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,UM,UM2,F,1,Kozeretska_2_UM2_1,13,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,UM,UM2,F,1,Kozeretska_2_UM2_1,17,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,1,UM,UM4,F,1,Kozeretska_1_UM4_1,8,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,1,UM,UM4,F,1,Kozeretska_1_UM4_1,15,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,1,UM,UM18,F,1,Kozeretska_1_UM18_1,10,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,UM,UM23,F,1,Kozeretska_2_UM23_1,10,1004,Ukraine,48.753,30.206,214
Kozeretska,NS,2,KA,KA15,F,1,Kozeretska_2_KA15_1,18,1004,Denmark,55.945,10.213,15
Kozeretska,NS,2,KA,KA16,F,1,Kozeretska_2_KA16_1,7,1004,Denmark,55.945,10.213,15
Kozeretska,NS,1,KA,KA10,F,1,Kozeretska_1_KA10_1,11,1004,Denmark,55.945,10.213,15
Kozeretska,NS,1,KA,KA10,F,1,Kozeretska_1_KA10_1,20,1004,Denmark,55.945,10.213,15
Kozeretska,NS,2,VA,VA1,F,1,Kozeretska_2_VA1_1,14,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,1,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA6,F,1,Kozeretska_2_VA6_1,20,1004,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA46,F,1,Kozeretska_1_VA46_1,12,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA46,F,1,Kozeretska_2_VA46_1,4,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA15,F,1,Kozeretska_2_VA15_1,10,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA15,F,1,Kozeretska_2_VA15_1,18,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA35,F,1,Kozeretska_2_VA35_1,7,1004,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA44,F,1,Kozeretska_1_VA44_1,5,1004,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA44,F,1,Kozeretska_1_VA44_1,20,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA57,F,1,Kozeretska_2_VA57_1,6,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA57,F,1,Kozeretska_2_VA57_1,15,1004,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA71,F,1,Kozeretska_1_VA71_1,16,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,VA,VA55,M,1,Kozeretska_2_VA55_1,15,1004,Russia,57.979,33.244,217
Kozeretska,NS,1,VA,VA55,F,1,Kozeretska_1_VA55_1,20,1004,Russia,57.979,33.244,217
Kozeretska,NS,2,YE,YE33,F,1,Kozeretska_2_YE33_1,5,1004,Turkey,40.231,32.26,680
Kozeretska,NS,1,YE,YE51,F,1,Kozeretska_1_YE51_1,8,1004,Turkey,40.231,32.26,680
Kozeretska,NS,1,YE,YE51,F,1,Kozeretska_1_YE51_1,19,1004,Turkey,40.231,32.26,680
Kozeretska,NS,1,YE,YE26,F,1,Kozeretska_1_YE26_1,3,1004,Turkey,40.231,32.26,680
Kozeretska,NS,1,YE,YE27,F,1,Kozeretska_1_YE27_1,13,1004,Turkey,40.231,32.26,680
Kozeretska,NS,2,YE,YE27,F,1,Kozeretska_2_YE27_1,5,1004,Turkey,40.231,32.26,680
Kozeretska,NS,2,YE,YE27,F,1,Kozeretska_2_YE27_1,8,1004,Turkey,40.231,32.26,680
Kozeretska,NS,2,YE,YE27,F,1,Kozeretska_2_YE27_1,10,1004,Turkey,40.231,32.26,680
Kozeretska,NS,2,YE,YE40,F,1,Kozeretska_2_YE40_1,6,1004,Turkey,40.231,32.26,680
Kozeretska,NS,1,RE,RE2,F,1,Kozeretska_1_RE2_1,15,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE17,F,1,Kozeretska_1_RE17_1,14,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE17,F,1,Kozeretska_2_RE17_1,13,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE16,F,1,Kozeretska_2_RE16_1,4,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE11,F,1,Kozeretska_2_RE11_1,6,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE3,F,1,Kozeretska_1_RE3_1,20,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE1,F,1,Kozeretska_2_RE1_1,12,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE6,F,1,Kozeretska_1_RE6_1,13,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE7,F,1,Kozeretska_2_RE7_1,11,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE7,F,1,Kozeretska_2_RE7_1,18,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,1,RE,RE10,F,1,Kozeretska_1_RE10_1,13,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,RE,RE10,F,1,Kozeretska_2_RE10_1,14,1004,Portugal,41.15,-8.41,175
Kozeretska,NS,2,MU,MU2,F,1,Kozeretska_2_MU2_1,2,1004,Germany,48.18,11.61,520
Kozeretska,NS,1,AK,AK1,F,1,Kozeretska_1_AK1_1,2,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK4,F,1,Kozeretska_2_AK4_1,17,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK3,F,1,Kozeretska_2_AK3_1,14,1004,Finland,61.1,23.52,88
Kozeretska,NS,2,AK,AK3,F,1,Kozeretska_2_AK3_1,15,1004,Finland,61.1,23.52,88
Ritchie,S,6,GI,GI2,F,3,Ritchie_6_GI2_3,146,1004,Spain,41.618,0.62,173
Ritchie,S,9,GI,GI3,F,1,Ritchie_9_GI3_1,175,1004,Spain,41.618,0.62,173
Ritchie,S,15,GI,GI5,F,2,Ritchie_15_GI5_2,1079,1004,Spain,41.618,0.62,173
Ritchie,S,4,MU,MU2,F,3,Ritchie_4_MU2_3,2099,1004,Germany,48.18,11.61,520
Ritchie,S,4,MU,MU2,F,3,Ritchie_4_MU2_3,2103,1004,Germany,48.18,11.61,520
Ritchie,S,3,YE,YE11,F,3,Ritchie_3_YE11_3,553,1004,Turkey,40.231,32.26,680
Ritchie,S,6,YE,YE13,F,3,Ritchie_6_YE13_3,636,1004,Turkey,40.231,32.26,680
Ritchie,S,15,YE,YE19,F,3,Ritchie_15_YE19_3,867,1004,Turkey,40.231,32.26,680
Schmidt,NS,1,RE,RE6,F,1,Schmidt_1_RE6_1,2,1003.817354,Portugal,41.15,-8.41,175
Schmidt,NS,1,MU,MU18,F,1,Schmidt_1_MU18_1,5,1003.77,Germany,48.18,11.61,520
Schmidt,NS,1,AK,AK8,F,1,Schmidt_1_AK8_1,7,1003.75,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK14,F,1,Schmidt_1_AK14_1,2,1003.7,Finland,61.1,23.52,88
Schmidt,NS,1,RE,RE5,F,1,Schmidt_1_RE5_1,5,1003.678482,Portugal,41.15,-8.41,175
Schmidt,NS,1,AK,AK8,F,1,Schmidt_1_AK8_1,2,1003.64,Finland,61.1,23.52,88
Schmidt,NS,1,MU,MU11,F,1,Schmidt_1_MU11_1,6,1003.62,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA13,F,1,Schmidt_1_MA13_1,8,1003.59,Austria,48.375,15.56,572
Schmidt,NS,1,YE,YE20,F,1,Schmidt_1_YE20_1,4,1003.59,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM29,F,1,Schmidt_1_UM29_1,5,1003.547308,Ukraine,48.753,30.206,214
Schmidt,NS,1,YE,YE69,F,1,Schmidt_1_YE69_1,8,1003.48,Turkey,40.231,32.26,680
Schmidt,NS,1,KA,KA23,F,1,Schmidt_1_KA23_1,7,1003.442357,Denmark,55.945,10.213,15
Schmidt,NS,1,KA,KA9,F,1,Schmidt_1_KA9_1,3,1003.38679,Denmark,55.945,10.213,15
Schmidt,NS,1,AK,AK12,F,1,Schmidt_1_AK12_1,2,1003.37,Finland,61.1,23.52,88
Schmidt,NS,1,YE,YE80,F,1,Schmidt_1_YE80_1,4,1003.32,Turkey,40.231,32.26,680
Schmidt,NS,1,MU,MU6,F,1,Schmidt_1_MU6_1,5,1003.28,Germany,48.18,11.61,520
Schmidt,NS,1,RE,RE13,F,1,Schmidt_1_RE13_1,5,1003.122804,Portugal,41.15,-8.41,175
Schmidt,NS,1,MU,MU13,F,1,Schmidt_1_MU13_1,1,1003.12,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA13,F,1,Schmidt_1_MA13_1,1,1003.02,Austria,48.375,15.56,572
Ritchie,S,6,AK,AK2,F,1,Ritchie_6_AK2_1,329,1003,Finland,61.1,23.52,88
Ritchie,S,9,AK,AK3,F,1,Ritchie_9_AK3_1,410,1003,Finland,61.1,23.52,88
Ritchie,S,9,GI,GI3,F,1,Ritchie_9_GI3_1,161,1003,Spain,41.618,0.62,173
Ritchie,S,15,GI,GI5,F,2,Ritchie_15_GI5_2,1075,1003,Spain,41.618,0.62,173
Ritchie,S,13,KA,KA6,F,1,Ritchie_13_KA6_1,1458,1003,Denmark,55.945,10.213,15
Ritchie,S,7,MA,MA6,F,2,Ritchie_7_MA6_2,1738,1003,Austria,48.375,15.56,572
Ritchie,S,4,MU,MU2,F,1,Ritchie_4_MU2_1,2035,1003,Germany,48.18,11.61,520
Ritchie,S,4,MU,MU2,F,1,Ritchie_4_MU2_1,2042,1003,Germany,48.18,11.61,520
Ritchie,S,15,YE,YE19,F,2,Ritchie_15_YE19_2,846,1003,Turkey,40.231,32.26,680
Ritchie,S,15,YE,YE19,F,3,Ritchie_15_YE19_3,865,1003,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA20,F,1,Schmidt_1_MA20_1,2,1002.97,Austria,48.375,15.56,572
Schmidt,NS,1,VA,VA34,F,1,Schmidt_1_VA34_1,1,1002.962217,Russia,57.979,33.244,217
Schmidt,NS,1,MU,MU15,F,1,Schmidt_1_MU15_1,7,1002.81,Germany,48.18,11.61,520
Schmidt,NS,1,YE,YE11,F,1,Schmidt_1_YE11_1,7,1002.65,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM13,F,1,Schmidt_1_UM13_1,1,1002.6,Ukraine,48.753,30.206,214
Schmidt,NS,1,AK,AK3,F,1,Schmidt_1_AK3_1,8,1002.57,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK21,F,1,Schmidt_1_AK21_1,3,1002.54,Finland,61.1,23.52,88
Schmidt,NS,1,AK,AK12,F,1,Schmidt_1_AK12_1,9,1002.44,Finland,61.1,23.52,88
Schmidt,NS,1,MU,MU10,F,1,Schmidt_1_MU10_1,6,1002.05,Germany,48.18,11.61,520
Schmidt,NS,1,MU,MU10,F,1,Schmidt_1_MU10_1,9,1002,Germany,48.18,11.61,520
Ritchie,S,9,AK,AK3,F,1,Ritchie_9_AK3_1,406,1002,Finland,61.1,23.52,88
Ritchie,S,12,AK,AK4,F,2,Ritchie_12_AK4_2,916,1002,Finland,61.1,23.52,88
Ritchie,S,6,GI,GI2,F,1,Ritchie_6_GI2_1,91,1002,Spain,41.618,0.62,173
Ritchie,S,9,GI,GI3,F,3,Ritchie_9_GI3_3,234,1002,Spain,41.618,0.62,173
Ritchie,S,7,KA,KA3,F,1,Ritchie_7_KA3_1,1303,1002,Denmark,55.945,10.213,15
Ritchie,S,13,KA,KA6,F,1,Ritchie_13_KA6_1,1460,1002,Denmark,55.945,10.213,15
Ritchie,S,7,MA,MA6,F,1,Ritchie_7_MA6_1,1703,1002,Austria,48.375,15.56,572
Ritchie,S,7,MA,MA6,F,3,Ritchie_7_MA6_3,1761,1002,Austria,48.375,15.56,572
Ritchie,S,10,MA,MA7,F,3,Ritchie_10_MA7_3,1845,1002,Austria,48.375,15.56,572
Ritchie,S,13,MA,MA9,F,3,Ritchie_13_MA9_3,1923,1002,Austria,48.375,15.56,572
Ritchie,S,4,MU,MU2,F,1,Ritchie_4_MU2_1,2041,1002,Germany,48.18,11.61,520
Ritchie,S,11,YE,YE15,F,3,Ritchie_11_YE15_3,788,1002,Turkey,40.231,32.26,680
Ritchie,S,11,YE,YE15,F,3,Ritchie_11_YE15_3,790,1002,Turkey,40.231,32.26,680
Schmidt,NS,1,VA,VA48,F,1,Schmidt_1_VA48_1,8,1001.88686,Russia,57.979,33.244,217
Schmidt,NS,1,YE,YE21,F,1,Schmidt_1_YE21_1,2,1001.85,Turkey,40.231,32.26,680
Schmidt,NS,1,MA,MA6,F,1,Schmidt_1_MA6_1,5,1001.82,Austria,48.375,15.56,572
Schmidt,NS,1,VA,VA66,F,1,Schmidt_1_VA66_1,6,1001.71216,Russia,57.979,33.244,217
Schmidt,NS,1,YE,YE14,F,1,Schmidt_1_YE14_1,3,1001.71,Turkey,40.231,32.26,680
Schmidt,NS,1,UM,UM17,F,1,Schmidt_1_UM17_1,5,1001.67,Ukraine,48.753,30.206,214
Schmidt,NS,1,AK,AK15,F,1,Schmidt_1_AK15_1,9,1001.66,Finland,61.1,23.52,88
Schmidt,NS,1,RE,RE12,F,1,Schmidt_1_RE12_1,2,1001.639488,Portugal,41.15,-8.41,175
Schmidt,NS,1,KA,KA1,F,1,Schmidt_1_KA1_1,7,1001.495675,Denmark,55.945,10.213,15
Schmidt,NS,1,RE,RE15,F,1,Schmidt_1_RE15_1,10,1001.446186,Portugal,41.15,-8.41,175
Schmidt,NS,1,VA,VA57,F,1,Schmidt_1_VA57_1,7,1001.421441,Russia,57.979,33.244,217
Schmidt,NS,1,KA,KA16,F,1,Schmidt_1_KA16_1,10,1001.353388,Denmark,55.945,10.213,15
Schmidt,NS,1,UM,UM18,F,1,Schmidt_1_UM18_1,5,1001.25,Ukraine,48.753,30.206,214
Schmidt,NS,1,MU,MU19,F,1,Schmidt_1_MU19_1,7,1001.15,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA23,F,1,Schmidt_1_MA23_1,3,1001.12,Austria,48.375,15.56,572
Schmidt,NS,1,VA,VA57,F,1,Schmidt_1_VA57_1,6,1001.070301,Russia,57.979,33.244,217
Schmidt,NS,1,AK,AK7,F,1,Schmidt_1_AK7_1,7,1001.03,Finland,61.1,23.52,88
Ritchie,S,4,KA,KA2,F,1,Ritchie_4_KA2_1,1213,1001,Denmark,55.945,10.213,15
Ritchie,S,4,MA,MA5,F,2,Ritchie_4_MA5_2,1646,1001,Austria,48.375,15.56,572
Ritchie,S,4,MU,MU2,F,3,Ritchie_4_MU2_3,2093,1001,Germany,48.18,11.61,520
Ritchie,S,6,YE,YE13,F,2,Ritchie_6_YE13_2,607,1001,Turkey,40.231,32.26,680
Schmidt,NS,1,AK,AK15,F,1,Schmidt_1_AK15_1,6,1000.98,Finland,61.1,23.52,88
Schmidt,NS,1,MU,MU20,F,1,Schmidt_1_MU20_1,5,1000.98,Germany,48.18,11.61,520
Schmidt,NS,1,MA,MA19,F,1,Schmidt_1_MA19_1,9,1000.97,Austria,48.375,15.56,572
Schmidt,NS,1,MA,MA20,F,1,Schmidt_1_MA20_1,1,1000.92,Austria,48.375,15.56,572
Schmidt,NS,1,GI,GI5,F,1,Schmidt_1_GI5_1,4,1000.79,Spain,41.618,0.62,173
Schmidt,NS,1,YE,YE13,F,1,Schmidt_1_YE13_1,6,1000.73,Turkey,40.231,32.26,680
Schmidt,NS,1,KA,KA6,F,1,Schmidt_1_KA6_1,7,1000.68344,Denmark,55.945,10.213,15
Schmidt,NS,1,VA,VA46,F,1,Schmidt_1_VA46_1,10,1000.654033,Russia,57.979,33.244,217
Schmidt,NS,1,UM,UM17,F,1,Schmidt_1_UM17_1,9,1000.57,Ukraine,48.753,30.206,214
Schmidt,NS,1,MA,MA7,F,1,Schmidt_1_MA7_1,10,1000.55,Austria,48.375,15.56,572
