Model	Trait	Sex	Population	Line	Value_re_Parsch	Value_re_Vieira	SE_re_Parsch	SE_re_Vieira
lmer_pop	HSM	F	MA	MA32	NA	12.172	NA	12.897
lmer_pop	HSM	F	MU	MU12	NA	12.449	NA	7.88
lmer_pop	HSM	F	MU	MU13	NA	17.225	NA	7.987
lmer_pop	HSM	F	MU	MU16	NA	-19.303	NA	8.412
lmer_pop	HSM	F	MU	MU19	NA	5.1	NA	8.635
lmer_pop	HSM	F	MU	MU8	NA	2.84	NA	7.613
lmer_pop	HSM	F	RE	RE9	NA	1.476	NA	13.228
lmer_pop	HSM	F	UM	UM22	NA	-66.319	NA	7.815
lmer_pop	HSM	F	UM	UM24	NA	7.887	NA	9.54
lmer_pop	HSM	F	UM	UM6	NA	6.075	NA	10.46
lmer_pop	HSM	F	UM	UM8	NA	-3.752	NA	8.012
lmer_pop	HSM	F	VA	VA11	NA	-29.689	NA	7.762
lmer_pop	HSM	F	VA	VA15	NA	25.655	NA	10.473
lmer_pop	HSM	F	VA	VA35	NA	-1.079	NA	8.713
lmer_pop	HSM	F	VA	VA44	NA	-45.431	NA	8.405
lmer_pop	HSM	F	VA	VA46	NA	5.103	NA	8.029
lmer_pop	HSM	F	YE	YE14	NA	2.925	NA	9.484
lmer_pop	HSM	F	YE	YE20	NA	-30.33	NA	9.008
lmer_pop	HSM	F	YE	YE27	NA	-29.993	NA	7.813
lmer_pop	HSM	F	YE	YE41	NA	6.525	NA	9.833
lmer_pop	HSM	F	YE	YE49	NA	32.215	NA	12.058
lmer_pop	HSM	M	AK	AK1	-26.721	-29.178	11.988	12.174
lmer_pop	HSM	M	AK	AK10	12.178	-1.745	12.41	13.094
lmer_pop	HSM	M	AK	AK11	-19.535	11.118	12.421	13.094
lmer_pop	HSM	M	AK	AK13	-15.173	13.4	12.534	13.86
lmer_pop	HSM	M	AK	AK14	-132.547	-25.224	11.892	11.998
lmer_pop	HSM	M	AK	AK17	-38.656	-1.977	11.987	13.59
lmer_pop	HSM	M	AK	AK18	42.711	-32.452	15.925	11.383
lmer_pop	HSM	M	AK	AK20	65.194	14.281	15.352	12.968
lmer_pop	HSM	M	AK	AK21	61.809	NA	13.658	NA
lmer_pop	HSM	M	AK	AK3	-80.025	6.381	12.188	11.121
lmer_pop	HSM	M	AK	AK4	-5.209	26.14	12.408	14.024
lmer_pop	HSM	M	AK	AK6	55.242	23.9	14.202	13.4
lmer_pop	HSM	M	AK	AK7	103.623	45.516	22.61	16.038
