"","Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"26","Billeter","1","GI","GI14",63.4,37.1187284264965,60,33,126,16.6,0.585468902626128,60
"27","Billeter","1","GI","GI15",17.8,18.0194339533738,19,0,41,8.05853584716231,1.01232775018954,0
"28","Billeter","1","GI","GI2",52.8,53.1290880780011,55,0,118,23.7600505049968,1.00623272875002,0
"29","Billeter","1","GI","GI3",57.4,40.5622977652894,55,0,113,18.140011025355,0.706660239813404,50
"30","Billeter","1","GI","GI4",114.2,48.4530700781695,107,64,194,21.6688716826696,0.424282575115319,93
"31","Billeter","1","GI","GI5",80.8,18.8467503830236,75,63,109,8.42852300228219,0.233251861176035,75
"32","Billeter","1","GI","GI6",58.4,62.3842928949267,35,8,155,27.8991039282626,1.06822419340628,155
"33","Billeter","1","GI","GI7",83.4,32.9666498146233,83,37,125,14.7431339951857,0.395283570918744,125
"34","Billeter","1","GI","GI8",138.2,48.551004109081,147,61,195,21.7126691127553,0.351309725825478,195
"35","Billeter","1","GI","GI9",112,87.7866732482784,105,0,227,39.2593937803426,0.783809582573914,105
"36","Billeter","1","KA","KA1",80,71.1020393519061,44,19,164,31.7977986659454,0.888775491898826,23
"37","Billeter","1","KA","KA10",101.8,63.8098738441003,111,38,192,28.5366431102188,0.626816049549119,43
"38","Billeter","1","KA","KA11",113.4,61.3416661006204,128,12,177,27.4328270508163,0.540931799829104,12
"39","Billeter","1","KA","KA13",107.25,26.5753645318366,104.5,78,142,13.2876822659183,0.247788946683791,109
"40","Billeter","1","KA","KA14",117.4,63.583016600347,148,30,181,28.4351894665747,0.541592986374336,181
"41","Billeter","1","KA","KA15",96.125,68.7696725100742,100.5,0,185,24.3137508859258,0.715419219870733,0
"42","Billeter","1","KA","KA16",77.8,49.2513959193036,94,0,121,22.0258938524637,0.633051361430638,0
"43","Billeter","1","KA","KA17",53.4,34.2096477619984,61,1,84,15.2990195764304,0.640630107902591,40
"44","Billeter","1","KA","KA18",100,40.9145450909576,113,37,143,18.2975408183723,0.409145450909576,85
"45","Billeter","1","KA","KA2",156.2,45.1298127627403,143,111,230,20.182665829865,0.288923257123818,162
"46","Billeter","1","KA","KA23",100,26.5329983228432,105,61,133,11.8659175793531,0.265329983228432,133
"47","Billeter","1","KA","KA24",56.6,43.5694847341577,39,11,122,19.4848659220432,0.769778882228934,34
"48","Billeter","1","KA","KA25",90.5,59.0282418282413,114.5,3,130,29.5141209141206,0.652245766057915,121
"49","Billeter","1","KA","KA28",184,54.2862781925599,161,121,243,24.2775616568056,0.295034120611738,239
"50","Billeter","1","KA","KA29",170.2,84.6947459999733,180,52,253,37.8766418786038,0.497618954171406,180
"51","Billeter","1","KA","KA3",119,39.1152144312159,125,74,172,17.4928556845359,0.328699280934587,74
"52","Billeter","1","KA","KA5",107.4,68.1380950716998,128,0,176,30.4722824875328,0.634432915006516,0
"53","Billeter","1","KA","KA6",86.6,55.6893167492653,105,0,141,24.905019574375,0.64306370380214,141
"54","Billeter","1","KA","KA7",92.8,59.608724193695,103,1,155,26.6578318698277,0.642335390018265,131
"55","Billeter","1","KA","KA9",189.2,111.694673104853,243,4,270,49.9513763574138,0.590352394845947,165
"56","Billeter","1","MA","MA12",161,67.6535291023314,140,92,257,30.2555779981147,0.420208255293984,140
"57","Billeter","1","MA","MA13",73.2,32.4915373597495,86,20,105,14.5306572459748,0.443873461198764,86
"58","Billeter","1","MA","MA16",72.6,43.9237976500211,75,0,109,19.6433194750785,0.605010986914891,75
"59","Billeter","1","MA","MA19",211,57.8705451849211,208,155,306,25.8804945856914,0.274267986658394,176
"60","Billeter","1","MA","MA20",73.6,38.8046388979462,72,13,117,17.3539620836281,0.527236941548182,95
"61","Billeter","1","MA","MA21",48.4,29.3649450876381,50,14,81,13.1324026743015,0.606713741480126,14
"62","Billeter","1","MA","MA23",66.2,30.7278375418772,60,26,103,13.7419067090415,0.464166730239837,103
"63","Billeter","1","MA","MA26",98,36.3799395271625,119,58,132,16.2696035600134,0.371223872726148,132
"64","Billeter","1","MA","MA27",111.714285714286,66.8897458153198,94,0,215,25.2819475268085,0.598757315482403,0
"65","Billeter","1","MA","MA28",59.8,49.3122702782989,63,4,118,22.0531176934238,0.824619904319379,17
"66","Billeter","1","MA","MA3",49.8,19.3958758502935,42,36,84,8.67409937688057,0.389475418680593,42
"67","Billeter","1","MA","MA31",160.6,121.354027539262,222,0,265,54.2711709842343,0.755629063133637,62
"68","Billeter","1","MA","MA32",100.4,23.0065208147603,95,72,129,10.2888288935136,0.229148613692832,129
"69","Billeter","1","MA","MA33",159,99.1160935469109,204,0,250,44.3260645670242,0.623371657527742,250
"70","Billeter","1","MA","MA5",84.4,34.8754928280591,90,26,119,15.5967945424693,0.413216739668946,119
"71","Billeter","1","MA","MA6",73,39.9812456034076,71,36,133,17.8801565988668,0.547688295937091,38
