"Supervisor.PI","Diet","Batch","Population","Sex","ReplicateCageOld","ReplicateCage","Individual","Censor","LSP_AgeAtDeath_days","Country","Latitude","Longitude","Altitude"
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",33,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",34,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",35,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",36,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",37,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",38,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",39,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",40,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",41,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",42,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",43,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",44,0,61,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",45,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",46,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",47,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",48,0,64,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",49,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",50,0,66,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",51,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",52,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",53,0,68,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",54,0,71,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",55,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",56,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",57,0,75,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",58,0,80,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",59,0,82,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",3,"Flatt_AK_F_3",60,0,82,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",1,0,3,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",2,1,11,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",3,1,11,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",4,1,13,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",5,1,17,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",6,0,19,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",7,1,21,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",8,0,23,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",9,1,24,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",10,1,29,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",11,0,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",12,1,31,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",13,0,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",14,0,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",15,1,36,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",16,0,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",17,1,38,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",18,1,43,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",19,0,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",20,1,45,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",21,0,47,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",22,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",23,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",24,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",25,0,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",26,1,50,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",27,0,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",28,1,52,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",29,0,54,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",30,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",31,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",32,0,57,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",33,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",34,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",35,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",36,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",37,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",38,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",39,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",40,0,59,"Finland",61.1,23.52,88
"Flatt","S",1,"AK","F",4,"Flatt_AK_F_4",41,0,59,"Finland",61.1,23.52,88
