Model	Trait	Lab	Sex	Population	Line	Value_re	SE_re
lmer_pop	Via	Grath	NA	RE	RE11	0.052	0.045
lmer_pop	Via	Grath	NA	RE	RE12	-0.008	0.045
lmer_pop	Via	Grath	NA	RE	RE13	0.036	0.045
lmer_pop	Via	Grath	NA	RE	RE15	-0.036	0.045
lmer_pop	Via	Grath	NA	RE	RE16	0.039	0.045
lmer_pop	Via	Grath	NA	RE	RE17	-0.034	0.045
lmer_pop	Via	Grath	NA	RE	RE3	-0.091	0.045
lmer_pop	Via	Grath	NA	RE	RE7	0.027	0.045
lmer_pop	Via	Grath	NA	RE	RE8	-0.023	0.045
lmer_pop	Via	Hoedjes	NA	AK	AK1	-0.077	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK10	0.098	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK11	0.007	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK12	0.056	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK13	0.112	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK14	0.033	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK15	-0.072	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK16	0.277	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK17	-0.063	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK18	0.044	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK2	0.033	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK20	-0.03	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK21	0.024	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK3	-0.166	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK4	-0.112	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK5	-0.028	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK6	-0.111	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK7	-0.042	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK8	0.141	0.053
lmer_pop	Via	Hoedjes	NA	AK	AK9	-0.124	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI1	0.163	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI10	0.139	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI11	0.026	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI12	-0.072	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI13	-0.067	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI14	-0.163	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI15	-0.044	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI2	-0.05	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI3	0.167	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI4	-0.095	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI5	-0.056	0.053
lmer_pop	Via	Hoedjes	NA	GI	GI6	0.025	0.053
