Model	Trait	Sex	Population	Line	Estimate_Parsch	Estimate_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	M	UM	UM20	8.833	-0.206	2.977	2.733
lmer_pop	LS	M	UM	UM21	-5.1	3.403	3.168	2.733
lmer_pop	LS	M	UM	UM23	-2.099	1.341	3.175	2.733
lmer_pop	LS	M	UM	UM25	5.121	-4.36	3.177	2.733
lmer_pop	LS	M	UM	UM26	-8.562	-4.628	3.101	2.733
lmer_pop	LS	M	UM	UM28	4.102	-6.49	3.028	2.733
lmer_pop	LS	M	UM	UM29	4.082	-0.923	3.229	2.733
lmer_pop	LS	M	UM	UM4	2.19	1.207	2.954	2.733
lmer_pop	LS	M	UM	UM5	-7.658	2.582	3.148	2.733
lmer_pop	LS	M	UM	UM7	5.236	2.563	3.171	2.733
lmer_pop	LS	M	UM	UM9	-0.059	2.086	3.077	2.733
lmer_pop	LS	M	VA	VA1	-4.246	4.249	3.071	2.733
lmer_pop	LS	M	VA	VA18	0.845	-0.278	2.9	2.733
lmer_pop	LS	M	VA	VA22	-0.589	-4.432	3.311	2.733
lmer_pop	LS	M	VA	VA26	3.984	-1.271	3.116	2.733
lmer_pop	LS	M	VA	VA30	-3.367	-4.012	3.062	2.733
lmer_pop	LS	M	VA	VA34	0.389	-0.536	3.355	2.733
lmer_pop	LS	M	VA	VA47	2.464	3.657	2.955	2.733
lmer_pop	LS	M	VA	VA48	6.177	3.628	3.071	2.733
lmer_pop	LS	M	VA	VA55	-1.386	-5.788	2.996	2.733
lmer_pop	LS	M	VA	VA57	1.732	-8.013	3.174	2.733
lmer_pop	LS	M	VA	VA6	5.692	7.639	2.993	2.733
lmer_pop	LS	M	VA	VA66	-9.356	9.205	3.022	2.733
lmer_pop	LS	M	VA	VA67	-7.252	-3.821	3.198	2.733
lmer_pop	LS	M	VA	VA71	-1.69	6.502	3.064	2.733
lmer_pop	LS	M	VA	VA9	6.603	-4.738	2.888	2.733
lmer_pop	LS	M	YE	YE11	-6.178	-9.44	3.02	2.733
lmer_pop	LS	M	YE	YE13	3.174	1.431	3.039	2.734
lmer_pop	LS	M	YE	YE15	-0.135	-2.029	3.067	2.733
lmer_pop	LS	M	YE	YE19	6.583	-2.478	3.086	2.733
lmer_pop	LS	M	YE	YE21	1.205	-1.113	2.955	2.733
lmer_pop	LS	M	YE	YE22	3.642	2.593	3.071	2.733
lmer_pop	LS	M	YE	YE23	-1.724	-1.59	3.019	2.733
lmer_pop	LS	M	YE	YE24	0.39	-3.844	3.068	2.733
lmer_pop	LS	M	YE	YE26	4.192	-1.285	3.357	2.733
lmer_pop	LS	M	YE	YE33	1.821	-0.368	3.086	2.733
lmer_pop	LS	M	YE	YE40	-6.358	3.576	3.185	2.733
lmer_pop	LS	M	YE	YE48	-2.251	-3.806	3.09	2.733
lmer_pop	LS	M	YE	YE51	-6.311	-1.523	3.173	2.733
lmer_pop	LS	M	YE	YE69	-1.833	1.026	3.153	2.733
lmer_pop	LS	M	YE	YE80	3.782	2.23	2.971	2.733
lmer_pop	LS	M	AK	AK12	NA	0.224	NA	2.733
lmer_pop	LS	M	AK	AK15	NA	-2.316	NA	2.733
lmer_pop	LS	M	AK	AK16	NA	10.222	NA	2.733
