Model	Trait	Sex	Population	Line	Coef_Parsch	Coef_Pasyukova	SE_Parsch	SE_Pasyukova
lmer_pop	LS	F	VA	VA55	56.1122896885996	37.3818749999976	4.29676322892776	2.74390002980816
lmer_pop	LS	F	VA	VA57	46.8932896885996	38.6448749999976	4.27389076199494	2.74390002980816
lmer_pop	LS	F	VA	VA6	61.9202896885996	48.9218749999976	4.322633253639	2.74390002980816
lmer_pop	LS	F	VA	VA66	52.9022896885996	53.9468749999976	4.26178756456322	2.74390002980816
lmer_pop	LS	F	VA	VA67	54.8532896885996	38.6258749999976	4.32407472709084	2.74390002980816
lmer_pop	LS	F	VA	VA71	56.1342896885996	51.1728749999976	4.2468828857723	2.74390002980816
lmer_pop	LS	F	VA	VA9	55.3682896885996	44.9428749999976	4.18988272454799	2.74390002980816
lmer_pop	LS	F	YE	YE11	51.4156888659617	31.9062499999978	4.38636239198299	2.74390002980816
lmer_pop	LS	F	YE	YE13	53.5776888659617	42.2972499999978	4.28980268005449	2.74390002980816
lmer_pop	LS	F	YE	YE15	50.2596888659617	38.3172499999978	4.32703674976337	2.74390002980816
lmer_pop	LS	F	YE	YE19	58.7726888659617	40.3492499999978	4.32631783781575	2.74390002980816
lmer_pop	LS	F	YE	YE21	52.5176888659617	41.0432499999978	4.31124657538892	2.74390002980816
lmer_pop	LS	F	YE	YE22	56.7406888659617	43.5412499999978	4.25712285866907	2.74390002980816
lmer_pop	LS	F	YE	YE23	52.2346888659617	44.1012499999978	4.35226860772663	2.74390002980816
lmer_pop	LS	F	YE	YE24	51.3726888659617	39.5042499999978	4.32488034907357	2.74390002980816
lmer_pop	LS	F	YE	YE26	54.7266888659617	40.9952499999978	4.34215960482831	2.74390002980816
lmer_pop	LS	F	YE	YE33	52.7126888659617	38.6972499999978	4.30122668942276	2.74390002980816
lmer_pop	LS	F	YE	YE40	55.3066888659617	48.1862499999978	4.40751744566062	2.74390002980816
lmer_pop	LS	F	YE	YE48	56.3116888659617	43.0472499999978	4.29979709216641	2.74390002980816
lmer_pop	LS	F	YE	YE51	58.1556888659617	37.7182499999978	4.33999620204934	2.74390002980816
lmer_pop	LS	F	YE	YE69	53.7046888659617	40.2542499999978	4.29908246417799	2.74390002980816
lmer_pop	LS	F	YE	YE80	61.0646888659617	39.4382499999978	4.30694962053223	2.74390002980816
lmer_pop	LS	F	AK	AK12	NA	45.4937500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK15	NA	43.2807500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK16	NA	51.8857500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK19	NA	35.7487500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK2	NA	45.5507500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK24	NA	39.7467500000375	NA	2.71694405094846
lmer_pop	LS	F	AK	AK5	NA	47.6977500000375	NA	2.71694405094846
lmer_pop	LS	F	KA	KA13	NA	43.7503749999977	NA	2.74390002980816
lmer_pop	LS	F	KA	KA16	NA	44.5483749999977	NA	2.74390002980816
