"Models","Trait","Sex","Population","Estimate","SE","LLEst","ULEst","Q","P","N_lab","N_lab_av"
"lmers","DW","F","MU",0.459960425231843,0.0124554825996511,0.435548127926462,0.484372722537225,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","MA",0.470922488703192,0.0169100940533702,0.437779313383402,0.504065664022983,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","UM",0.470822370510145,0.0151183800646035,0.441190890078934,0.500453850941356,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","KA",0.471762019204135,0.0126508734493735,0.446966762870389,0.496557275537881,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","VA",0.479595623267571,0.00712091320036784,0.465638889857814,0.493552356677327,10.6235635666395,0.223954053693448,3,3
"lmers","DW","F","AK",0.443166885171712,0.0125071995692716,0.418653224468484,0.467680545874939,10.6235635666395,0.223954053693448,3,3
"lmers","DW","M","YE",0.254698262881048,0.0047465000345844,0.245395293760645,0.264001232001452,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","RE",0.271640438391816,0.00350971113436054,0.264761530972331,0.278519345811302,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","GI",0.259578752248249,0.00353522470027979,0.252649839158444,0.266507665338054,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","MU",0.269020207079535,0.00313266612586052,0.26288029429726,0.27516011986181,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","MA",0.270481627784819,0.00321944429551825,0.26417163291537,0.276791622654268,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","UM",0.270991781387249,0.00367231701997372,0.263794172288287,0.278189390486211,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","KA",0.273072646316453,0.00475590010434057,0.263751253397875,0.282394039235031,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","VA",0.268432285990142,0.00312860981916149,0.262300323422907,0.274564248557377,23.1209825768772,0.00321234203333262,3,3
"lmers","DW","M","AK",0.259483129371842,0.00313580459463977,0.253337065303793,0.265629193439892,23.1209825768772,0.00321234203333262,3,3
"lmers","Fec","F","YE",56.8841133763997,5.37251424047888,46.3541789586325,67.4140477941668,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","RE",60.6075411874943,6.07369605853772,48.7033156597175,72.5117667152711,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","GI",60.9832577337284,12.0232341519491,37.4181518182163,84.5483636492406,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","MU",74.7350154520278,18.4675973363418,38.53918979181,110.930841112246,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","MA",76.9229057244918,21.555226410385,34.6754382815307,119.170373167453,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","UM",74.3425479845467,27.9073057372442,19.645233834,129.039862135093,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","KA",80.0524992056954,29.5850546937004,22.0668575253949,138.038140885996,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","VA",69.5215792023279,16.2116734937772,37.747283025402,101.295875379254,3.53538941461964,0.896425789024475,2,2
"lmers","Fec","F","AK",78.5517851653262,17.9869929589267,43.2979267756545,113.805643554998,3.53538941461964,0.896425789024475,2,2
"lmers","HSM","F","YE",342.675410941133,24.4052711807388,294.841958393952,390.508863488314,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","RE",355.314113876676,26.4660905252331,303.441529635643,407.18669811771,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","GI",334.228787708165,6.30955251828104,321.86229201377,346.595283402559,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","MU",361.807186870148,33.8602887445652,295.442240424673,428.172133315623,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","MA",391.099705227277,23.9746151125097,344.110323063549,438.089087391006,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","UM",369.806649995648,11.5055043431695,347.256275859066,392.357024132229,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","KA",364.203184850034,5.8591648870526,352.71943269193,375.686937008139,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","VA",360.039227976945,8.08469139019691,344.193524026038,375.884931927852,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","F","AK",368.914560585101,12.4733984101478,344.467148936392,393.36197223381,19.09653253958,0.0143518288397368,2,2
"lmers","HSM","M","YE",295.636713777951,33.248636181164,230.470584327794,360.802843228108,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","RE",299.327960703747,31.7729581612602,237.054107025379,361.601814382115,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","GI",278.412693406577,10.2624352244983,258.298689972885,298.526696840269,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","MU",322.996175784102,22.1788613691102,279.52640628254,366.465945285665,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","MA",349.295530043809,33.6406089002615,283.361148181299,415.229911906319,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","UM",336.435008706166,26.8263994397069,283.856231969455,389.013785442877,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","KA",328.392400372703,9.15921560710225,310.440667656145,346.344133089261,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","VA",327.77967100911,14.0159559021517,300.308902231991,355.250439786229,23.1328666511575,0.00319778408266785,2,2
"lmers","HSM","M","AK",355.417683389983,17.852447153094,320.427529934014,390.407836845952,23.1328666511575,0.00319778408266785,2,2
"lmers","LS","F","YE",48.121509783685,3.89949648780314,40.4786371097504,55.7643824576196,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","RE",45.1953978398041,0.73938929808956,43.7462214449942,46.644574234614,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","GI",46.6854154941214,3.65074080390834,39.5300950015703,53.8407359866726,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","MU",51.6225097462122,4.29626029871342,43.2019942925245,60.0430251998998,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","MA",47.0927926462219,2.36396581691473,42.4595047843852,51.7260805080586,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","UM",46.5185901253002,3.9983523369527,38.6819635473714,54.3552167032291,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","KA",52.6774803030102,3.29480924725202,46.2197728424667,59.1351877635537,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","VA",51.995450454581,4.27082026616265,43.6247965484584,60.3661043607035,11.7733723747858,0.161605482638451,3,3
"lmers","LS","F","AK",54.3243920845853,5.45459363278963,43.6335850140161,65.0151991551544,11.7733723747858,0.161605482638451,3,3
"lmers","LS","M","YE",49.4209822115595,2.6186099627677,44.2886009949771,54.553363428142,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","RE",49.7517084653298,0.787373052234273,48.2084856405532,51.2949312901063,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","GI",50.1555640154115,1.01174218270806,48.1725857756637,52.1385422551593,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","MU",54.7523814976121,2.30915657971743,50.2265177667022,59.2782452285219,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","MA",50.5648013976531,1.79016266441648,47.0561470489286,54.0734557463777,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","UM",50.8139573505368,3.90143302028321,43.1672891426864,58.4606255583872,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","KA",55.362725454724,0.978878032809152,53.4441597651607,57.2812911442874,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","VA",53.4398970445583,3.05759109541358,47.4471286180973,59.4326654710193,26.1803370288401,0.000978202122623301,3,3
"lmers","LS","M","AK",53.9148507037225,3.07614033547772,47.8857264347952,59.9439749726498,26.1803370288401,0.000978202122623301,3,3
"lmers","LA_AbsPhase","B","YE",12.6042696629214,0.489953699182734,11.643978058431,13.5645612674117,20.3033933937752,0.00924717716442268,1,1
