Model	Trait	Sex	Population	Line	Estimate_Schmidt	Estimate_Gibert	Estimate_Grath	Estimate_Hoedjes	Estimate_StamenkovicRadak	Estimate_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	YE	YE51	1.391	NA	NA	NA	NA	NA	4.549	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE69	-1.583	NA	NA	NA	NA	NA	2.239	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE80	3.374	NA	NA	NA	NA	NA	2.942	NA	NA	NA	NA	NA
lmer_pop	DT_A	F	AK	AK1	15.395	-12.907	-2.014	-2.848	-3.622	-6.353	3.033	1.92	2.457	2.003	6.83	1.88
lmer_pop	DT_A	F	AK	AK10	-1.582	-2.827	NA	-6.113	19.578	0.932	3.617	1.911	NA	1.986	6.782	2.03
lmer_pop	DT_A	F	AK	AK11	7.341	3.335	NA	1.429	0.556	1.329	5.03	1.856	NA	2.034	6.712	2.193
lmer_pop	DT_A	F	AK	AK12	-9.715	-2.686	-0.348	-2.479	7.256	-0.303	3.997	1.352	2.215	1.945	6.729	2.203
lmer_pop	DT_A	F	AK	AK13	0.665	2.553	NA	3.72	NA	2.495	5.352	1.874	NA	1.969	NA	2.232
lmer_pop	DT_A	F	AK	AK14	-0.921	4.995	0.024	5.976	NA	0.374	5.352	1.939	2.389	2.013	NA	2.156
lmer_pop	DT_A	F	AK	AK15	31.852	-2.51	-0.234	2.51	-14.554	-0.402	5.352	2.03	2.434	2.102	6.966	2.1
lmer_pop	DT_A	F	AK	AK16	-11.025	-3.353	NA	-1.604	-13.878	-1.738	4.329	1.855	NA	2.017	6.627	2.06
lmer_pop	DT_A	F	AK	AK17	-14.862	-6.937	3.975	-3.112	-9.611	-1.073	3.617	1.952	2.368	2.107	6.729	2.116
lmer_pop	DT_A	F	AK	AK18	5.355	5.418	NA	7.231	-5.685	1.803	5.745	2.04	NA	1.992	6.901	2.458
lmer_pop	DT_A	F	AK	AK2	-13.588	0.406	NA	-3.673	-5.873	-7.809	3.857	1.911	NA	2.025	6.793	1.844
lmer_pop	DT_A	F	AK	AK20	-5.265	1.408	NA	0.994	-5.553	4.839	5.03	1.916	NA	1.998	6.795	2.363
lmer_pop	DT_A	F	AK	AK21	37.027	3.671	-1.647	1.197	10.132	-0.858	5.745	1.933	2.368	2.062	6.756	2.382
lmer_pop	DT_A	F	AK	AK3	-4.076	-1.244	NA	-2.54	2.45	-1.027	6.24	1.911	NA	2.172	6.861	2.104
lmer_pop	DT_A	F	AK	AK4	-10.516	5.622	-1.284	-1.324	-7.964	0.601	3.617	1.996	2.389	2.139	6.792	2.325
lmer_pop	DT_A	F	AK	AK5	-11.94	3.909	NA	-1.447	-4.537	2.828	3.857	1.8	NA	2.099	6.903	2.092
lmer_pop	DT_A	F	AK	AK6	-9.641	-0.665	0.602	5.595	0.144	2.945	4.329	2.018	2.368	2.105	6.769	2.237
lmer_pop	DT_A	F	AK	AK7	-5.608	-2.474	NA	-5.227	7.694	-3.489	5.745	1.96	NA	2.049	6.73	2.07
lmer_pop	DT_A	F	AK	AK8	14.811	5.583	2.124	3.534	9.219	-0.729	5.03	1.877	2.074	1.967	6.874	2.033
lmer_pop	DT_A	F	AK	AK9	-13.707	-1.298	-1.198	-1.819	-4.18	5.636	3.417	1.778	2.327	2.043	6.711	2.07
lmer_pop	DT_A	F	GI	GI1	33.69	1.56	NA	-0.894	9.786	-5.168	7.795	1.874	NA	1.969	6.831	1.636
lmer_pop	DT_A	F	GI	GI10	-2.146	-0.813	NA	3.763	-10.572	6.521	3.246	1.401	NA	2.075	6.812	2.346
lmer_pop	DT_A	F	GI	GI11	-1.525	-3.52	NA	1.444	10.654	-1.349	3.033	1.967	NA	2.317	6.746	2.161
lmer_pop	DT_A	F	GI	GI12	-8.226	10.059	NA	10.409	4.616	4.094	5.352	2.338	NA	2.233	6.968	3.087
lmer_pop	DT_A	F	GI	GI13	15.749	1.59	NA	-2.048	NA	5.449	7.795	1.895	NA	2.348	NA	2.204
lmer_pop	DT_A	F	GI	GI14	NA	4.682	NA	5.81	0.479	-3.958	NA	2.221	NA	2.407	6.946	2.327
lmer_pop	DT_A	F	GI	GI15	-9.289	1.36	NA	3.53	NA	3.618	6.889	2.197	NA	2.326	NA	2.093
lmer_pop	DT_A	F	GI	GI2	5.657	-5.48	NA	-7.932	-7.872	-8.128	7.795	2.023	NA	2.224	6.766	1.627
lmer_pop	DT_A	F	GI	GI3	-0.472	-3.711	NA	-5.499	-2.131	-8.473	9.189	1.839	NA	2.067	6.799	2.375
lmer_pop	DT_A	F	GI	GI4	NA	-1.41	NA	-8.86	-6.503	-2.05	NA	2.351	NA	2.206	6.82	2.275
lmer_pop	DT_A	F	GI	GI5	-18.797	-6.845	NA	-4.5	-4.129	-4.264	5.352	2.093	NA	2.407	7.067	2.297
lmer_pop	DT_A	F	GI	GI6	NA	6.898	NA	6.085	6.185	6.221	NA	2.024	NA	2.187	6.75	2.1
lmer_pop	DT_A	F	GI	GI7	NA	1.984	NA	-4.137	-3.669	-0.723	NA	2.013	NA	2.295	6.766	2.022
lmer_pop	DT_A	F	GI	GI8	7.232	-5.726	NA	-4.897	-2.401	4.162	3.997	1.899	NA	2.166	6.703	2.111
lmer_pop	DT_A	F	GI	GI9	-21.872	-0.628	NA	7.725	5.557	4.049	5.745	1.941	NA	2.307	6.714	2.263
lmer_pop	DT_A	F	KA	KA1	-14.03	-3.902	NA	-3.998	-2.932	-3.625	3.417	2.183	NA	2.138	6.911	1.589
