Model	Trait	Sex	Population	Line	Coef_Schmidt	Coef_Gibert	Coef_Grath	Coef_Hoedjes	Coef_StamenkovicRadak	Coef_Zwaan	SE_Schmidt	SE_Gibert	SE_Grath	SE_Hoedjes	SE_StamenkovicRadak	SE_Zwaan
lmer_pop	DT_P	NA	UM	UM22	140.377825938646	NA	NA	NA	NA	NA	3.96130922773289	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM23	124.069825938646	NA	NA	NA	NA	NA	4.11214625198591	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM25	150.666825938646	NA	NA	NA	NA	NA	4.07660971859237	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM28	127.804825938646	NA	NA	NA	NA	NA	3.87607363161766	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM29	110.106825938646	NA	NA	NA	NA	NA	4.19352391166686	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM4	131.832825938646	NA	NA	NA	NA	NA	3.89509470972424	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM5	133.994825938646	NA	NA	NA	NA	NA	3.98695909155358	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM7	117.684825938646	NA	NA	NA	NA	NA	3.93766705013536	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	UM	UM9	133.751825938646	NA	NA	NA	NA	NA	3.96130922773289	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA1	115.620350579933	NA	NA	NA	NA	NA	3.68842543408	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA11	172.748350579933	NA	NA	NA	NA	NA	3.98783013464318	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA15	133.417350579933	NA	NA	NA	NA	NA	3.89109164409787	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA18	157.800350579933	NA	NA	NA	NA	NA	5.8176677614632	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA22	150.314350579933	NA	NA	NA	NA	NA	4.58293237815792	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA26	133.700350579933	NA	NA	NA	NA	NA	3.5770425190048	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA30	135.969350579933	NA	NA	NA	NA	NA	4.17739119340866	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA34	144.440350579933	NA	NA	NA	NA	NA	3.77705628535877	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA35	135.796350579933	NA	NA	NA	NA	NA	3.77705628535877	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA44	171.036350579933	NA	NA	NA	NA	NA	4.91465097262951	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA46	124.995350579933	NA	NA	NA	NA	NA	3.52534667554387	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA47	139.187350579933	NA	NA	NA	NA	NA	3.5102873362117	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA48	147.194350579933	NA	NA	NA	NA	NA	5.14070366611111	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA55	123.499350579933	NA	NA	NA	NA	NA	3.5586966972149	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA57	143.269350579933	NA	NA	NA	NA	NA	3.84996859503662	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA66	154.161350579933	NA	NA	NA	NA	NA	4.25772922844657	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA67	120.931350579933	NA	NA	NA	NA	NA	3.98783013464318	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA71	138.259350579933	NA	NA	NA	NA	NA	4.04378958191054	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	VA	VA9	132.201350579933	NA	NA	NA	NA	NA	3.52534667554387	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE11	144.083245975657	NA	NA	NA	NA	NA	3.93223921672368	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE13	132.163245975657	NA	NA	NA	NA	NA	4.05292860257119	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE14	127.666245975657	NA	NA	NA	NA	NA	3.47894312364254	NA	NA	NA	NA	NA
lmer_pop	DT_P	NA	YE	YE15	134.133245975657	NA	NA	NA	NA	NA	5.09770048723341	NA	NA	NA	NA	NA
