Model	Trait	Lab	Sex	Population	Line	Estimate	SE
lmer_pop	DT_A	Hoedjes	F	GI	GI11	1.444	2.317
lmer_pop	DT_A	Hoedjes	F	GI	GI12	10.409	2.233
lmer_pop	DT_A	Hoedjes	F	GI	GI13	-2.048	2.348
lmer_pop	DT_A	Hoedjes	F	GI	GI14	5.81	2.407
lmer_pop	DT_A	Hoedjes	F	GI	GI15	3.53	2.326
lmer_pop	DT_A	Hoedjes	F	GI	GI2	-7.932	2.224
lmer_pop	DT_A	Hoedjes	F	GI	GI3	-5.499	2.067
lmer_pop	DT_A	Hoedjes	F	GI	GI4	-8.86	2.206
lmer_pop	DT_A	Hoedjes	F	GI	GI5	-4.5	2.407
lmer_pop	DT_A	Hoedjes	F	GI	GI6	6.085	2.187
lmer_pop	DT_A	Hoedjes	F	GI	GI7	-4.137	2.295
lmer_pop	DT_A	Hoedjes	F	GI	GI8	-4.897	2.166
lmer_pop	DT_A	Hoedjes	F	GI	GI9	7.725	2.307
lmer_pop	DT_A	Hoedjes	F	KA	KA1	-3.998	2.138
lmer_pop	DT_A	Hoedjes	F	KA	KA10	6.435	2.041
lmer_pop	DT_A	Hoedjes	F	KA	KA11	1.398	1.903
