"Supervisor.PI","Batch","Population","Line","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Gibert","1","KA","KA16",0.776666666666667,0.0251661147842359,0.78,0.75,0.8,0.0145296631451356,0.0324027228981578,0.78
"Gibert","1","KA","KA17",0.77,0.115325625946708,0.73,0.68,0.9,0.0665832811847939,0.14977354019053,0.9
"Gibert","1","KA","KA23",0.71,0.101488915650922,0.73,0.6,0.8,0.0585946527708232,0.142942134719609,0.73
"Gibert","1","KA","KA24",0.646666666666667,0.0763762615825973,0.63,0.58,0.73,0.0440958551844099,0.118107621004017,0.73
"Gibert","1","KA","KA3",0.586666666666667,0.0602771377334171,0.58,0.53,0.65,0.0348010216963685,0.102745121136506,0.53
"Gibert","1","KA","KA7",0.793333333333333,0.0814452781524708,0.83,0.7,0.85,0.047022453265553,0.10266211531824,0.83
"Gibert","1","MA","MA16",0.676666666666667,0.0680685928555405,0.7,0.6,0.73,0.0392994204085053,0.100593979589469,0.73
"Gibert","1","MA","MA18",0.636666666666667,0.169213868619961,0.68,0.45,0.78,0.0976956725983523,0.265780945476378,0.45
"Gibert","1","MA","MA20",0.426666666666667,0.04618802153517,0.4,0.4,0.48,0.0266666666666667,0.108253175473055,0.4
"Gibert","1","MA","MA27",0.566666666666667,0.284312035153866,0.65,0.25,0.8,0.164147630029935,0.501727120859764,0.65
"Gibert","1","MA","MA3",0.786666666666667,0.0115470053837925,0.78,0.78,0.8,0.00666666666666667,0.0146783966743125,0.78
"Gibert","1","MA","MA30",0.636666666666667,0.0115470053837925,0.63,0.63,0.65,0.00666666666666667,0.0181366576708783,0.63
"Gibert","1","MA","MA32",0.55,0.0866025403784438,0.6,0.45,0.6,0.05,0.157459164324443,0.6
"Gibert","1","MA","MA33",0.753333333333333,0.0251661147842359,0.75,0.73,0.78,0.0145296631451356,0.0334063470587202,0.75
"Gibert","1","MA","MA9",0.613333333333333,0.125830573921179,0.63,0.48,0.73,0.0726483157256779,0.205158544436705,0.73
"Gibert","1","MU","MU1",0.803333333333333,0.0404145188432738,0.78,0.78,0.85,0.0233333333333333,0.0503085296804238,0.78
"Gibert","1","MU","MU11",0.62,0.233023603954621,0.55,0.43,0.88,0.134536240470737,0.375844522507453,0.43
"Gibert","1","MU","MU15",0.743333333333333,0.110151410945722,0.75,0.63,0.85,0.0635959467611297,0.1481857546355,0.85
"Gibert","1","MU","MU16",0.643333333333333,0.0404145188432738,0.65,0.6,0.68,0.0233333333333334,0.0628204956113065,0.65
"Gibert","1","MU","MU19",0.743333333333333,0.110151410945722,0.75,0.63,0.85,0.0635959467611297,0.1481857546355,0.85
"Gibert","1","MU","MU20",0.693333333333333,0.0513160143944688,0.68,0.65,0.75,0.0296273147243853,0.0740134822997146,0.65
"Gibert","1","MU","MU4",0.716666666666667,0.0763762615825973,0.7,0.65,0.8,0.0440958551844099,0.106571527789671,0.65
"Gibert","1","MU","MU5",0.82,0.0360555127546399,0.83,0.78,0.85,0.0208166599946613,0.0439701375056584,0.78
"Gibert","1","MU","MU8",0.603333333333333,0.0251661147842359,0.6,0.58,0.63,0.0145296631451356,0.0417117924600594,0.6
"Gibert","1","MU","MU9",0.703333333333333,0.161658075373095,0.73,0.53,0.85,0.0933333333333333,0.22984560479587,0.85
"Gibert","1","RE","RE10",0.71,0.115325625946708,0.75,0.58,0.8,0.066583281184794,0.16243045907987,0.8
"Gibert","1","RE","RE11",0.76,0.0964365076099295,0.8,0.65,0.83,0.0556776436283002,0.126890141592013,0.65
"Gibert","1","RE","RE12",0.47,0.138924439894498,0.4,0.38,0.63,0.0802080627701064,0.295583914669145,0.4
"Gibert","1","RE","RE13",0.613333333333333,0.0288675134594813,0.63,0.58,0.63,0.0166666666666667,0.047066598031763,0.63
