"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Mensch","8","F","AK",2059.11111111111,782.31420563599,1781.5,1260,3600,184.393226607925,0.379928116270446,2492
"Mensch","8","F","GI",1226.38888888889,376.869167326071,1249.5,752,2410,88.8289146121307,0.307299887287396,1291
"Mensch","8","F","KA",1218,311.361526203865,1158,812,1667,117.683595166992,0.255633436948986,812
"Mensch","8","F","MA",2113,667.956194866751,1940,1154,3600,136.345987329549,0.316117460892925,1944
"Mensch","8","F","MU",1854.38888888889,596.639524522322,1782.5,883,3288,140.629284571217,0.321744553204164,1548
"Mensch","8","F","RE",1395,294.933890897604,1406.5,1009,1840,93.2662854412032,0.21142214401262,1195
"Mensch","8","F","VA",1978.41666666667,682.693318164655,1816,997,3600,139.354190025911,0.345070545384603,3600
"Mensch","8","F","YE",2029.16,727.519569038066,1841,1060,3600,145.503913807613,0.358532382383876,1060
"Mensch","8","M","AK",1850,509.603190496984,1700.5,1114,3074,120.114623904906,0.275461184052424,1748
"Mensch","8","M","GI",1525.27777777778,665.393630121702,1379,915,3600,156.834782672463,0.436244230274654,1130
"Mensch","8","M","KA",1120,220.144498000745,1172.5,844,1416,89.8736149638295,0.196557587500665,1237
"Mensch","8","M","MA",1672.91304347826,306.013058699889,1638,1171,2469,63.8081336286206,0.182922274348246,2023
"Mensch","8","M","MU",1613.5,364.451118323238,1554,1025,2230,85.9019523924608,0.225876119196305,1389
"Mensch","8","M","RE",1381.25,542.251220711984,1291.5,912,2806,156.534444123233,0.392580069293744,1260
"Mensch","8","M","VA",1790.20833333333,541.174646660767,1760,1015,3600,110.466812170822,0.302297021293108,2080
"Mensch","8","M","YE",1940.76923076923,824.603455592056,1586,1101,3600,228.703849312458,0.424884856230548,3600
"Mensch","9","F","AK",2211.33333333333,735.886313683484,2105,1584,3600,300.424329537036,0.332779460514087,3600
"Mensch","9","F","KA",1892.91666666667,598.3190784999,1749,1353,3600,172.719840516603,0.316083158353458,1738
"Mensch","9","F","MA",2556.44444444444,980.112191790681,2586,1057,3600,231.014659046267,0.383388809375701,3600
"Mensch","9","F","MU",2053.94444444444,667.486723571182,2071.5,1070,3600,157.328129529724,0.324977983399996,1189
"Mensch","9","F","RE",1827.16666666667,524.218697133403,1799.5,1082,2710,151.328902952103,0.286902506868596,1839
"Mensch","9","F","UM",2591.83333333333,1133.54460285719,2783.5,1162,3600,462.767646280987,0.437352428599006,3600
"Mensch","9","F","VA",2889.66666666667,820.718384506322,3012.5,1703,3600,335.056877426969,0.284018358924785,3600
"Mensch","9","F","YE",2570,698.453434381992,2605,1557,3572,285.142420555062,0.27177176435097,1557
"Mensch","9","M","AK",2179.83333333333,736.626748541394,2071.5,1536,3600,300.726610801978,0.337928013705051,2085
"Mensch","9","M","KA",2256.16666666667,860.184740552161,2102,1086,3600,248.313945755299,0.381259395974955,3600
"Mensch","9","M","MA",2055.55555555556,711.424190680193,1823.5,1095,3600,167.684289843372,0.346098254925499,1509
"Mensch","9","M","MU",1812.33333333333,493.193673925366,1690,1244,2937,116.246863756978,0.272131878200496,1400
