"Supervisor.PI","Batch","Sex","Population","Mean","SD","Median","Min","Max","SE","CV","Mode"
"Schmidt","1",NA,"KA",0.760342353735,0.209983995963973,0.8170995671,0.4285714286,1,0.0469538489162485,0.276170326343754,1
"Schmidt","1",NA,"MA",0.632633299405556,0.225548529910992,0.67261904765,0.1785714286,0.9565217391,0.0531622983289065,0.356523328953638,0.6666666667
"Schmidt","1",NA,"MU",0.57261213123,0.218642420121411,0.51041666665,0.2272727273,1,0.0488899314156543,0.381833370612942,1
"Schmidt","1",NA,"RE",0.62982248796,0.220057219254645,0.7096774194,0.3103448276,1,0.056818529692397,0.349395620927116,0.375
"Schmidt","1",NA,"UM",0.710661793142857,0.17817819387301,0.74085365855,0.4333333333,0.95,0.0476201253762134,0.250721504367117,0.92
"Schmidt","1",NA,"VA",0.583720514975,0.208770168067183,0.5773255814,0.2857142857,1,0.0466824287472277,0.35765432721878,0.55
"Schmidt","1",NA,"YE",0.537734518405,0.207858536715124,0.50806451615,0.2272727273,1,0.0464785817798653,0.386544901993019,0.5
"StamenkovicRadak","1",NA,"AK",0.650833333333333,0.126739412922259,0.615,0.44,0.9,0.0365865170838006,0.194734053145596,0.6
"StamenkovicRadak","1",NA,"GI",0.591666666666667,0.125758305948957,0.56,0.43,0.78,0.0363032958962309,0.212549249491195,0.73
"StamenkovicRadak","1",NA,"KA",0.668666666666667,0.114009189270406,0.68,0.5,0.95,0.0294370460905928,0.170502277074386,0.68
"StamenkovicRadak","1",NA,"MA",0.621111111111111,0.0953210947855254,0.65,0.5,0.75,0.0317736982618418,0.153468667812116,0.7
"StamenkovicRadak","1",NA,"MU",0.669166666666667,0.107657565991209,0.69,0.55,0.88,0.0310780623526622,0.160883037595829,0.55
"StamenkovicRadak","1",NA,"RE",0.722222222222222,0.0984603699182795,0.75,0.55,0.83,0.0328201233060932,0.136329742963772,0.75
"StamenkovicRadak","1",NA,"UM",0.715,0.123913459537475,0.755,0.51,0.85,0.0357707346100895,0.17330553781465,0.85
"StamenkovicRadak","1",NA,"VA",0.575333333333333,0.140095205723346,0.55,0.35,0.85,0.0361724265766681,0.243502675069547,0.5
"StamenkovicRadak","1",NA,"YE",0.542666666666667,0.14189868954729,0.58,0.25,0.75,0.0366380840976873,0.26148407164734,0.63
"StamenkovicRadak","2",NA,"AK",0.704,0.179395811386044,0.65,0.45,1,0.0463197993251677,0.254823595718813,0.63
