Supervisor.PI	Diet	Batch	Population	Line	Sex	ReplicateVialOld	ReplicateVial	Individual	Censor	LSL_AgeAtDeath_days	Country	Latitude	Longitude	Altitude	Population_Lat	Population_Lon	Population_Alt	Color	StatusT	StatusM	Wolbachia	PC.ratio
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	4	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	5	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	6	0	53	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	7	0	53	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	8	0	53	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	9	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	1	Pasyukova_1_AK2_1	10	0	76	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	1	0	15	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	2	0	29	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	3	0	31	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	4	0	44	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	5	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	6	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	7	0	49	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	8	0	57	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	9	0	59	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	2	Pasyukova_1_AK2_2	10	0	65	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	1	0	34	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	2	0	51	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	3	0	56	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	4	0	56	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	5	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	6	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	7	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	8	0	64	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	9	0	66	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	2	Pasyukova_1_AK2_2	10	0	73	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	1	0	39	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	2	0	41	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	3	0	43	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	4	0	50	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	5	0	52	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	6	0	58	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	7	0	65	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	8	0	68	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	9	0	72	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	F	3	Pasyukova_1_AK2_3	10	0	74	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	1	0	35	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	2	0	53	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	3	0	75	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	4	0	75	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	5	0	75	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	6	0	75	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	7	0	77	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	8	0	80	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	9	0	80	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK2	M	3	Pasyukova_1_AK2_3	10	0	89	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	1	0	25	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	2	0	30	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	3	0	33	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	4	0	39	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	5	0	39	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	6	0	42	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	7	0	42	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	8	0	43	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
Pasyukova	S	1	AK	AK3	F	1	Pasyukova_1_AK3_1	9	0	46	Finland	61.1	23.52	88	AK	AK	AK	#A00E00	+	+	+	0.143
