Model	Trait	Sex	Population	Line	Value_re_Colinet	Value_re_Hoedjes	Value_re_Onder	SE_re_Colinet	SE_re_Hoedjes	SE_re_Onder
lmer_pop	DW	M	GI	GI14	0.019	0.006	0.036	0.006	0.005	0.006
lmer_pop	DW	M	GI	GI15	-0.007	-0.007	0.02	0.005	0.005	0.006
lmer_pop	DW	M	GI	GI2	-0.001	0.009	-0.018	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI3	-0.013	0.005	0.011	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI4	-0.023	-0.022	-0.009	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI5	0.035	-0.017	0.022	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI6	0.003	-0.007	-0.012	0.005	0.005	0.006
lmer_pop	DW	M	GI	GI7	0.014	0.007	0.009	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI8	0.002	0.012	-0.014	0.005	0.006	0.006
lmer_pop	DW	M	GI	GI9	0.007	0.013	-0.012	0.005	0.005	0.006
lmer_pop	DW	M	KA	KA1	-0.013	-0.021	0.027	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA10	-0.018	-0.003	-0.002	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA11	0.011	0.015	-0.003	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA13	-0.026	-0.013	-0.032	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA14	-0.016	-0.024	-0.008	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA15	-0.009	0.021	0.008	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA16	-0.001	0.007	-0.01	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA17	0.036	0	0.007	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA18	-0.013	0.002	0.025	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA2	-0.006	0.006	0.012	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA23	-0.022	0.004	-0.032	0.005	0.006	0.007
lmer_pop	DW	M	KA	KA24	0.01	-0.014	-0.017	0.005	0.006	0.007
lmer_pop	DW	M	KA	KA25	-0.004	0.001	-0.003	0.005	0.006	0.007
lmer_pop	DW	M	KA	KA28	0.013	0.014	-0.021	0.005	0.006	0.007
lmer_pop	DW	M	KA	KA29	-0.011	0.013	0.019	0.005	0.006	0.007
lmer_pop	DW	M	KA	KA3	0.061	0.004	0.017	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA5	-0.003	-0.021	-0.01	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA6	0.006	-0.018	0.019	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA7	0.023	0.027	0.014	0.005	0.006	0.006
lmer_pop	DW	M	KA	KA9	-0.018	0	-0.01	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA12	0.015	-0.021	0.002	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA13	-0.008	-0.006	-0.026	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA16	-0.032	-0.013	-0.039	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA18	0.01	0.011	0.004	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA19	-0.008	-0.012	-0.015	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA20	-0.006	0.007	-0.014	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA21	0.007	-0.009	-0.002	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA23	-0.008	-0.005	-0.009	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA27	0.002	0.032	0.017	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA28	0.021	0.03	0.019	0.005	0.006	0.007
lmer_pop	DW	M	MA	MA3	-0.005	-0.036	-0.011	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA30	0.017	0.018	0.008	0.005	0.005	0.007
lmer_pop	DW	M	MA	MA31	0.015	0.032	0.002	0.005	0.006	0.007
lmer_pop	DW	M	MA	MA32	0.005	0.023	0.034	0.005	0.006	0.007
lmer_pop	DW	M	MA	MA33	-0.002	0.006	-0.003	0.005	0.006	0.007
lmer_pop	DW	M	MA	MA5	-0.005	-0.033	0	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA6	-0.025	-0.018	0	0.005	0.006	0.006
lmer_pop	DW	M	MA	MA7	0.006	0	-0.007	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU1	0.003	-0.001	-0.004	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU10	-0.009	-0.022	-0.034	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU11	-0.006	0.011	-0.017	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU12	0.022	0.044	0.009	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU13	0.005	-0.011	-0.017	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU14	-0.012	0.008	0.013	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU15	-0.004	-0.01	-0.01	0.005	0.006	0.006
lmer_pop	DW	M	MU	MU16	-0.022	0.009	0.003	0.005	0.006	0.007
lmer_pop	DW	M	MU	MU17	-0.01	0.02	0.003	0.005	0.006	0.007
lmer_pop	DW	M	MU	MU18	0.016	-0.009	-0.003	0.005	0.006	0.007
